str_1164|Dummy first line
str_id_1127|很 有 意 思。
str_id_1128|很 有 意 思。
str_id_1129|很 有 意 思。
str_id_1130|很 有 意 思。
str_id_1131|很 有 意 思。
str_id_1132|很 有 意 思。
str_id_1133|很 有 意 思。
str_id_1134|很 有 意 思。
str_id_1135|很 有 意 思。
str_id_1136|很 有 意 思。
str_id_1137|很 有 意 思。
str_id_1138|很 有 意 思。
str_id_1139|很 有 意 思。
str_id_1140|很 有 意 思。
str_id_1141|很 有 意 思。
str_id_1142|很 有 意 思。
str_id_1143|很 有 意 思。
str_id_1144|精 彩 纷 呈……
str_id_1145|很 有 意 思。
str_id_1146|很 有 意 思。
str_id_1147|很 有 意 思。
str_id_1148|很 有 意 思。
str_id_1149|很 有 意 思。
str_id_1150|很 有 意 思。
str_id_1151|很 有 意 思。
str_id_1152|很 有 意 思。
str_id_1153|很 有 意 思。
str_id_1154|很 有 意 思。
str_id_1155|很 有 意 思。
str_id_1156|很 有 意 思。
str_id_1157|很 有 意 思。
str_id_1158|很 有 意 思。
str_id_1159|很 有 意 思。
str_id_1160|很 有 意 思。
str_id_1161|很 有 意 思。
str_id_1162|很 有 意 思。
str_id_1163|很 有 意 思。
str_id_1164|你 知 道 我 的 敌 人 需 要 好 好 教 训 一 下，我 听 说 他 们 讨 厌 狗。你 为 什 么 不 加 入 我，我 们 可 以 边 冒 险 边 交 朋 友？
str_id_1165|没 门，我 可 不 想 为 你 不 听 从 我 的 领 导 而 会 砍 下 我 的 头 担 心。
str_id_1166|改 天 吧，呵 呵，大 诗 人 菲 力 克 斯。
str_id_1167|我 恐 怕 并 不 需 要 保 镖，贾 利 勒，但 祝 你 好 运。
str_id_1168|一 个 消 极 的 兽 人，算 了 吧，连 我 都 看 不 下 去 了。
str_id_1169|我 的 队 伍 需 要 的 是 比 你 还 要 有 道 德 的 人。
str_id_1170|我 不 能 冒 险 让 你 在 个 不 好 的 时 机 离 开。从 而 破 坏 我 的 计 划。
str_id_1171|我 不 需 要 你 的 能 力，不 过 我 会 记 得 你 的。
str_id_1172|你 知 道 刚 才 想 偷 的 人 是 谁 吗？
str_id_1173|我 认 为 你 会 给 我 的 队 伍 带 来 不 良 影 响，所 以 我 会 去 找 别 人 当 我 的 新 伙 伴。
str_id_1174|我 可 不 想 一 直 参 与 战 争，或 许 你 去 当 个 强 盗 比 较 好。
str_id_1175|这 听 起 来 事 态 不 乐 观，我 希 望 你 会 失 败。
str_id_1176|闪 边 去，你 这 疯 癫 的 怪 物。
str_id_1177|好 吧，当 你 入 侵 另 一 片 土 地，这 算 什 么 事。
str_id_1178|我 知 道 你 不 适 合 我 的 队 伍。
str_id_1179|你 也 许 是 很 有 学 识，但 我 不 需 要 个 骑 射 手。
str_id_1180|祝 你 好 运 史 基 佐，希 望 你 的 一 切 变 好。
str_id_1181|他 们 可 能 是 故 意 把 你 留 下 的，斯 卡 洛 克，为 了 摆 脱 你 这 个 单 调 的 混 蛋。
str_id_1182|是 的，嗯，对 此 我 无 能 为 力。
str_id_1183|若 你 寻 求 的 是 安 全，那 就 相 信 我：最 好 别 与 我 同 行。
str_id_1184|真 令 人 印 象 深 刻。不 过 别 想 偷 我 的 任 何 宝 藏，否 则 你 会 后 悔 来 到 这 里。
str_id_1185|一 件 可 怕 的 故 事，很 高 兴 你 成 功 复 了 仇，告 辞。
str_id_1186|如 果 我 没 记 错，露 斯 契 亚 在 不 久 前 入 侵 旧 世 界，别 骗 人 了，你 什 么 都 做 不 到。
str_id_1187|谢 谢 你 的 酒，老 头，再 见。
str_id_1188|如 果 我 再 发 现 你 跟 着 我 的 部 队 我 就 把 你 关 起 来。
str_id_1189|我 自 己 会 训 练 我 的 人。
str_id_1190|你 很 像 我 有 很 多 计 划，但 阿 个 陋 你 也 许 该 从 你 的 失 败 中 学 习。
str_id_1191|我 的 队 伍 里 没 有 位 置 给 你 这 样 的 家 伙。
str_id_1192|我 听 说 好 奇 心 害 死 猫，看 来 在 你 身 上 又 复 活 了。{reg33?:}
str_id_1193|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1194|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1195|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1196|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1197|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1198|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1199|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1200|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1201|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1202|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1203|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1204|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1205|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1206|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1207|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1208|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1209|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1210|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1211|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1212|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1213|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1214|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1215|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1216|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1217|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1218|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1219|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1220|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1221|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1222|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1223|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1224|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1225|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1226|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1227|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1228|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1229|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1230|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1231|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1232|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1233|真 是 浪 费 时 间，再 见。
str_id_1234|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1235|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1236|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1237|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1238|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1239|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1240|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1241|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1242|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1243|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1244|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1245|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1246|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1247|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1248|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1249|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1250|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1251|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1252|故 事 很 有 意 思，不 过 我 得 走 了。
str_id_1253|我 想 问 问 酒 馆 老 板 你 回 家 的 最 佳 路 线，战 争 就 要 来 了。
str_id_1254|就 这 么 定 了，我 们 会 和 开 裂 的 头 骨 一 起 喝 酒。
str_id_1255|我 很 荣 幸 在 您 身 边 战 斗 {reg33?女 士 :先 生 }。
str_id_1256|不 错，不 错，你 完 全 可 以 指 望 我，你 会 发 现 这 么 便 宜 的 我 在 很 多 时 候 会 值 得 给 双 倍 价 钱。
str_id_1257|我 很 高 兴 在 这 能 发 现 我 的 价 值。
str_id_1258|嗯，你 既 睿 智 又 富 有。
str_id_1259|太 好 了，如 果 你 还 不 了 解 我 的 能 力，我 保 证 你 不 会 失 望。{reg33?:}
str_id_1260|那 么 我 准 备 好 加 入 你 了，别 忘 了 在 攻 城 时 采 用 我 的 计 策，快 速 的 围 攻 是 为 了 让 军 队 减 少 耗 损 的 难 得 机 会。
str_id_1261|你 可 以 试 试，但 我 会 逃 离 你 的 抓 捕，我 比 你 想 象 中 要 快 的 多。如 果 你 够 聪 明，你 会 雇 佣 我 而 不 是 攻 击 我，充 分 利 用 我 的 才 能。
str_id_1262|不 错，就 让 我 带 领 门 下 骑 兵，你 会 看 到 一 片 敌 人 变 成 红 色。
str_id_1263|我 可 以 为 你 而 战，但 必 须 确 信 你 是 认 真 的，不 是 只 想 利 用 我 完 成 一 件 要 紧 任 务，事 后 便 置 之 不 理。若 你 敢 那 样 做，我 会 像 杀 掉 从 前 那 些 家 伙 一 样 杀 了 你。
str_id_1264|我 习 惯 了 只 为 那 加 隆 强 大 的 统 治 者 服 务，但 我 想 我 可 以 和 你 一 起 打 发 下 时 间。
str_id_1265|混 家 伙，呗-----嘎 嘶，臭 虫 将 会 再 战！
str_id_1266|当 我 休 息 了 这 么 长 时 间，经 常 可 以 看 到 像 是 位 女 士 的 幻 觉，似 乎 在 指 引 我 应 该 做 些 什 么。但 最 近 很 长 一 段 时 间，我 担 心 她 不 会 再 来 了，也 许 我 再 次 进 入 战 场 就 能 再 看 见 她 并 告 诉 她 我 还 是 有 价 值 的。
str_id_1267|我 很 高 兴 将 与 你 同 行。
str_id_1268|我 对 这 个 机 会 表 示 感 激，我 对 所 有 的 种 族 和 文 化 都 有 很 渊 博 的 知 识，如 果 你 不 想 用 剑 而 是 想 找 到 能 以 外 交 的 方 式 来 解 决，我 会 很 乐 意 提 供 意 见。
str_id_1269|我 加 入 前 一 个 冒 险 团 队 时，并 没 有 在 战 场 体 现 出 我 有 多 少 用 处，我 保 证 这 次 不 同 了。
str_id_1270|虽 然 我 不 习 惯 与 一 大 群 陌 生 人 相 处，但 你 的 旅 行 如 果 真 如 你 所 说 的 那 样，让 我 加 入 你 也 不 失 为 一 个 好 主 意。
str_id_1271|真 的！你 最 好 是 知 道 怎 么 哄 一 个 女 孩 开 心，嗯，有 活 干 了。
str_id_1272|哦，谢 谢 你，谢 谢 你。我 迷 路 了，我 害 怕 自 己 出 去 旅 行 会 遇 到 了 些 很 可 怕 的 事 物。
str_id_1273|我 能 照 顾 好 自 己，我 能 单 独 作 战 也 可 作 为 团 队 的 一 部 分，我 必 须 承 认 我 曾 错 过 一 些 机 会。
str_id_1274|如 果 你 答 应 我，我 们 会 去 痛 扁 一 些 哥 布 林，我 会 跟 随 你 到 任 何 地 方。
str_id_1275|崇 敬 的 长 老 一 直 控 制 我 的 兄 弟 们 做 他 的 护 卫，从 来 没 有 给 我 分 配 新 的 任 务。
str_id_1276|如 果 能 让 我 找 回 自 我，为 什 么 不 呢？
str_id_1277|你 似 乎 经 常 旅 行 冒 险，对 我 来 说 这 不 错。
str_id_1278|你 会 在 任 何 时 候 发 现 你 部 下 发 生 的 改 变。
str_id_1279|好 吧，我 想 总 得 有 个 起 点，来 重 拾 巅 峰 状 态。
str_id_1280|我 追 随 你，哪 怕 战 斗 不 断 来 袭，我 都 会 陪 着 你。
str_id_1281|我 失 去 了 一 切，当 我 回 到 帝 国 被 当 成 异 类 几 乎 被 打 死，你 可 以 确 信 我 并 不 想 成 为 什 么 古 墓 王，我 陷 入 了 困 境，但 你 居 然 愿 意 向 我 伸 出 手。
str_id_1282|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1283|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1284|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1285|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1286|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1287|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1288|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1289|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1290|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1291|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1292|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1293|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1294|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1295|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1296|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1297|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1298|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1299|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1300|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1301|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1302|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1303|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1304|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1305|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1306|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1307|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1308|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1309|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1310|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1311|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1312|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1313|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1314|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1315|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1316|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1317|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1318|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1319|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1320|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1321|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1322|求 你 了，我 走 投 无 路 了！
str_id_1323|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1324|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1325|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1326|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1327|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1328|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1329|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1330|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1331|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1332|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1333|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1334|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1335|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1336|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1337|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1338|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1339|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1340|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1341|若 你 能 给 我 想 要 的 东 西，我 就 加 入 你。
str_id_1342|好 的，谢 谢 你 朋 友。除 非 他 们 道 歉，否 则 我 还 不 想 回 家。{reg33?:}
str_id_1343|别 让 我 失 望，否 则 我 会 像 碾 碎 绿 皮 一 样 碾 碎 你。
str_id_1344|路 上 别 忘 了 偶 尔 去 酒 馆 歇 歇 脚。
str_id_1345|我 是 一 个 很 好 的 攻 城 专 家，只 要 给 我 楼 梯 的 视 图，我 发 誓 我 会 让 一 半 的 入 侵 者 下 地 狱。
str_id_1346|我 的 医 术 可 是 能 让 你 称 赞 为 妙 手 仁 心。
str_id_1347|我 的 刀 锋 将 会 为 你 的 出 价 咆 哮。
str_id_1348|我 活 着 是 为 了 铲 除 邪 恶，用 手 枪 和 军 刀 消 灭 所 有 的 敌 人。现 在，你 的 敌 人 就 是 我 的 敌 人，不 过 只 会 是 暂 时 的。
str_id_1349|我 曾 经 为 波 及 欧 工 作 而 且 从 没 有 在 攻 城 中 失 败，最 后 都 能 因 使 其 粮 绝 而 投 降，我 希 望 能 和 你 保 持 着 这 个 记 录。
str_id_1350|我 是 一 个 优 秀 的 盗 贼，我 知 道 怎 样 寻 宝 同 时 我 还 会 一 些 基 本 的 治 疗。
str_id_1351|我 嗜 血 如 命，别 老 是 保 持 和 平 让 我 心 生 厌 倦，你 可 以 付 钱 给 我 了，但 我 还 是 希 望 能 杀 得 尽 兴。
str_id_1352|常 言 道，钱 见 真 心。所 以 我 得 要 笔 钱 来 看 看 你 的 诚 意。
str_id_1353|我 得 保 持 战 斗 技 能 熟 练，以 备 召 回 之 需。所 以 咱 们 合 作 是 双 赢。但 先 说 好，一 旦 召 我 回 去，我 立 马 就 走。
str_id_1354|哇 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊！
str_id_1355|我 不 能 带 着 坏 消 息 回 去 见 国 王，更 不 可 能 辜 负 他。为 你 而 战，也 许 正 能 解 决 我 眼 下 的 困 境。我 只 希 望 你 是 位 光 明 磊 落 的 领 袖—— 我 绝 不 侍 奉 暴 君。
str_id_1356|没 有 敌 人 会 在 我 面 前 溜 走。
str_id_1357|如 果 你 决 定 开 始 建 立 自 己 的 王 国，我 也 将 成 为 一 个 优 秀 的 顾 问，我 会 给 用 时 间 给 你 证 明。
str_id_1358|我 的 长 枪 训 练 意 味 着 能 给 敌 人 毁 灭 性 的 打 击，包 括 他 们 所 乘 的 高 大 的 马。
str_id_1359|你 会 发 现 我 的 弓 术 是 最 棒 的，这 是 我 必 须 强 调 的，在 战 场 上 你 完 全 不 用 担 心 我。
str_id_1360|不 要 以 为 我 只 是 个 女 孩 你 就 可 以 利 用 我，我 懂 得 更 多 花 样，如 果 你 问 我 你 对 我 动 心 思 了 我 会 怎 么 做，我 会 割 下 你 的 蛋 蛋。
str_id_1361|亚 马 逊 姐 妹 的 强 硬 臭 名 昭 彰，但 我 却 不 是，我 后 悔 没 有 与 其 他 人 一 起 训 练，我 一 直 思 念 让 我 日 渐 消 瘦 的 真 爱。如 果 你 看 到 弗 罗 林 请 让 他 加 入 我 们 的 行 列，我 很 想 念 他 那 俊 美 的 脸 庞。
str_id_1362|我 曾 有 些 巅 峰 时 刻 能 与 众 人 分 享 传 颂，我 想 我 会 加 入 你 们，但 我 必 须 拿 到 我 应 得 的 那 份。
str_id_1363|好，我 加 入。我 的 斧 头 还 没 杀 够。
str_id_1364|我 自 愿 去 侦 察 地 形，多 了 解 入 侵 敌 军。
str_id_1365|我 也 许 老 了，但 在 瓶 朗 姆 酒 面 前 我 宛 如 新 生。
str_id_1366|我 也 想 你 可 以 用 得 上 我 的 知 识，所 以 我 会 接 受 你 的 提 议。
str_id_1367|让 我 去 拿 点 东 西 和 你 们 的 放 在 一 起。
str_id_1368|只 要 把 我 作 为 平 等 的 朋 友 看 待。我 知 道 是 你 付 我 钱，但 我 不 是 仆 人，你 要 给 予 我 相 应 的 尊 重。
str_id_1369|就 让 我 上 战 场 吧！
str_id_1370|我 打 仗 不 算 强 项，但 是 好 骑 手，擅 长 长 枪。让 我 加 入 骑 兵 队，定 有 好 表 现。
str_id_1371|你 意 下 如 何？
str_id_1372|你 意 下 如 何？
str_id_1373|你 意 下 如 何？
str_id_1374|你 意 下 如 何？
str_id_1375|你 意 下 如 何？
str_id_1376|你 意 下 如 何？
str_id_1377|你 意 下 如 何？
str_id_1378|你 意 下 如 何？
str_id_1379|你 意 下 如 何？
str_id_1380|你 意 下 如 何？
str_id_1381|你 意 下 如 何？
str_id_1382|你 意 下 如 何？
str_id_1383|你 意 下 如 何？
str_id_1384|你 意 下 如 何？
str_id_1385|你 意 下 如 何？
str_id_1386|你 意 下 如 何？
str_id_1387|你 意 下 如 何？
str_id_1388|你 意 下 如 何？
str_id_1389|你 意 下 如 何？
str_id_1390|你 意 下 如 何？
str_id_1391|你 意 下 如 何？
str_id_1392|你 意 下 如 何？
str_id_1393|你 意 下 如 何？
str_id_1394|你 意 下 如 何？
str_id_1395|你 意 下 如 何？
str_id_1396|你 意 下 如 何？
str_id_1397|你 意 下 如 何？
str_id_1398|你 意 下 如 何？
str_id_1399|你 意 下 如 何？
str_id_1400|你 意 下 如 何？
str_id_1401|你 意 下 如 何？
str_id_1402|你 意 下 如 何？
str_id_1403|你 意 下 如 何？
str_id_1404|你 意 下 如 何？
str_id_1405|你 意 下 如 何？
str_id_1406|你 意 下 如 何？
str_id_1407|你 意 下 如 何？
str_id_1408|你 意 下 如 何？
str_id_1409|你 意 下 如 何？
str_id_1410|你 意 下 如 何？
str_id_1411|你 愿 意 让 我 加 入 你 的 兽 群 吗？
str_id_1412|你 意 下 如 何？
str_id_1413|你 意 下 如 何？
str_id_1414|你 意 下 如 何？
str_id_1415|你 意 下 如 何？
str_id_1416|你 意 下 如 何？
str_id_1417|你 意 下 如 何？
str_id_1418|你 意 下 如 何？
str_id_1419|你 意 下 如 何？
str_id_1420|你 意 下 如 何？
str_id_1421|你 意 下 如 何？
str_id_1422|你 意 下 如 何？
str_id_1423|你 意 下 如 何？
str_id_1424|你 意 下 如 何？
str_id_1425|你 意 下 如 何？
str_id_1426|你 意 下 如 何？
str_id_1427|你 意 下 如 何？
str_id_1428|你 意 下 如 何？
str_id_1429|你 意 下 如 何？
str_id_1430|你 意 下 如 何？
str_id_1431|只 要 确 保 我 们 有 时 间 去 打 猎 野 猪，我 听 说 荒 地 里 有 很 多 野 猪。
str_id_1432|很 好，当 我 到 大 门 外 时 希 望 你 已 经 准 备 好 了。
str_id_1433|你 有 什 么 需 要 的 吗？
str_id_1434|非 常 好，那 么 我 们 该 是 时 候 动 身 了。
str_id_1435|你 需 要 用 上 多 少 医 疗 品？
str_id_1436|我 看 这 不 用 说，你 要 我 先 预 付 些 钱 给 你 吗？
str_id_1437|很 好，我 很 期 待 能 看 到 你 的 发 挥。
str_id_1438|跟 我 来 吧，你 会 看 到 我 们 能 做 到 的。
str_id_1439|很 好，你 欠 我 的，所 以 为 我 找 到 最 好 的 战 利 品 吧。
str_id_1440|你 将 得 到 你 渴 望 的 乐 趣，你 要 多 少 钱？
str_id_1441|钱 不 是 问 题，我 会 通 过 我 们 的 努 力 赚 回 来 十 倍。
str_id_1442|很 公 平。在 那 一 天 到 来 前，你 得 听 我 的 号 令。
str_id_1443|跟 我 走 吧。只 是 别 把 你 吃 的 那 些 鬼 东 西 分 给 我 的 士 兵。
str_id_1444|你 可 以 信 任 我 将 引 导 你 走 上 正 确 的 道 路。
str_id_1445|不 错。我 很 乐 意 雇 佣 你 这 样 的 人。
str_id_1446|你 听 起 来 像 是 个 可 靠 的 同 伴，我 在 外 面 等 你。
str_id_1447|史 基 佐，我 会 把 你 安 排 在 战 斗 最 激 烈 的 地 方。希 望 你 说 的 都 是 真 话。
str_id_1448|如 果 是 这 样 的 话，你 可 以 帮 我 训 练 弓 箭 手。
str_id_1449|相 信 我，我 们 将 要 去 的 地 方，会 带 给 你 一 切 你 想 要 的 乐 趣。
str_id_1450|我 们 会 把 你 锻 炼 得 不 输 给 任 何 姐 妹，尤 其 是 在 我 所 走 的 道 路 上。
str_id_1451|会 有 足 够 的 战 利 品 分 给 大 家。
str_id_1452|你 将 能 成 为 令 人 生 畏 的 同 伴。
str_id_1453|你 应 该 加 入 我 的 队 伍，我 们 有 足 够 的 时 间 和 计 划 到 处 去 旅 行 冒 险。
str_id_1454|我 相 信 你 能 跟 上 我 们 的 脚 步 的，巴 斯 汀，我 在 外 面 等 你。
str_id_1455|好，记 住，我 需 要 你 不 止 是 单 单 进 行 侦 查 也 需 要 你 参 加 战 斗。
str_id_1456|欢 迎 来 到 我 的 队 伍，伊 拉 斯 谟。
str_id_1457|非 常 好，阿 个 陋，你 会 得 到 该 有 的 平 等。
str_id_1458|非 常 好，我 很 高 兴 你 能 处 理 好 自 己 的 事。
str_id_1459|看 来 我 将 会 有 队 不 错 的 骑 兵，欢 迎 入 队。
str_id_1460|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1461|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1462|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1463|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1464|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1465|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1466|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1467|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1468|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1469|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1470|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1471|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1472|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1473|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1474|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1475|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1476|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1477|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1478|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1479|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1480|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1481|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1482|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1483|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1484|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1485|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1486|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1487|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1488|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
str_id_1489|我 能 给 你 想 要 的 东 西。欢 迎 加 入 我 们。
