dlga_1164|Dummy first line
dlga_id:close_window.18|幸 好 你 在 这 里，{s0}。若 没 有 你，真 不 知 道 {reg1?我 们:我} 该 怎 么 办。
dlga_id:dplmc_recruiter_talk|您 好，{s0}。若 您 同 意，我 想 继 续 执 行 任 务。
dlga_id:close_window_107|好，继 续。
dlga_id:dplmc_recruiter_enough_talk|我 们 目 前 已 经 拥 有 所 需 的 全 部 兵 力。
dlga_id:dplmc_recruiter_enough_option|很 好。等 我 把 这 {reg1}名 新 兵 送 到 {s1}，便 会 离 开。您 想 先 带 走 一 些 吗？
dlga_id:close_window_108|看 来 我 在 这 里 的 差 事 已 经 办 完。请 代 我 向 治 安 官 问 好。
dlga_id:close_window_109|不，尽 快 赶 路。
dlga_id:dplmc_recruiter_enough_recruits|是 的，我 需 要 补 充 兵 力。
dlga_id:dplmc_recruiter_talk_2|希 望 这 批 新 兵 令 您 满 意。
dlga_id:dplmc_recruiter_talk_3|我 目 前 的 任 务 是 为 您 招 募 {reg1}名 {s1}。从 现 在 起，需 要 改 招 其 他 兵 种 吗？
dlga_id:close_window_110|不，继 续。
dlga_id:dplmc_recruiter_talk_4|{s11}.
dlga_id:dplmc_recruiter_talk_4.1|招 募 任 何 兵 种。
dlga_id:dplmc_messenger_talk|向 您 致 意。抱 歉，我 现 在 无 暇 交 谈，正 要 把 一 封 十 分 重 要 的 消 息 送 往 {s6}。
dlga_id:dplmc_messenger_talk_farewell|明 白，我 不 耽 搁 你。愿 你 一 路 顺 风！
dlga_id:close_window_111|多 谢。告 辞！
dlga_id:dplmc_patrol_talk|您 好，{s0}。我 们 仍 在 巡 逻 {s6}。有 新 的 命 令 吗？
dlga_id:dplmc_patrol_talk_2|您 好，{s0}。有 新 的 命 令 吗？
dlga_id:dplmc_patrol_talk_bandit_information|我 正 在 追 捕 一 群 符 合 以 下 特 征 的 山 贼……你 们 见 过 吗？
dlga_id:dplmc_patrol_talk_3|{s15}
dlga_id:dplmc_patrol_orders_area_ask|请 前 往 新 的 区 域 巡 逻。
dlga_id:dplmc_patrol_orders_area|我 们 该 去 哪 里？
dlga_id:dplmc_patrol_confirm_ask|{s11}.
dlga_id:dplmc_patrol_pretalk|算 了。
dlga_id:dplmc_patrol_confirm|遵 命，我 们 会 巡 逻 {s5}。
dlga_id:close_window_112|谢 谢。
dlga_id:dplmc_patrol_pretalk_2|等 等，我 改 变 主 意 了。
dlga_id:dplmc_patrol_orders_garrison_ask|我 需 要 你 们 增 援 一 处 驻 军。
dlga_id:dplmc_patrol_garrison_target|我 们 该 去 哪 里？
dlga_id:dplmc_patrol_pretalk_3|算 了。
dlga_id:dplmc_patrol_garrison_confirm|遵 命，我 们 会 增 援 {s5}。
dlga_id:close_window_113|谢 谢。
dlga_id:dplmc_patrol_pretalk_4|等 等，我 改 变 主 意 了。
dlga_id:dplmc_patrol_give_troops|我 想 交 给 你 一 些 士 兵。
dlga_id:dplmc_patrol_pretalk_5|我 确 实 用 得 上 一 些 精 兵。多 谢。
dlga_id:close_window_114|我 不 再 需 要 你 们 了。解 散 吧。
dlga_id:close_window.1_19|请 继 续。
dlga_id:dplmc_gift_talk|向 您 致 意。我 正 在 把 {s12} 运 往 {s13}。
dlga_id:dplmc_gift_talk_farewell|很 好！祝 你 一 路 顺 风。
dlga_id:close_window_115|多 谢。告 辞！
dlga_id:dplmc_scout_talk|陛 下，我 的 任 务 尚 未 完 成。
dlga_id:close_window_116|好，请 继 续。
dlga_id:dplmc_chancellor_talk|{reg33?夫 人 :陛 下 }？
dlga_id:dplmc_chancellor_talk_2|您 还 需 要 什 么 吗，{s0}？
dlga_id:dplmc_chancellor_domestic_policy_options_ask|谈 谈 我 们 的 内 政 方 针。
dlga_id:dplmc_chancellor_domestic_policy_options|如 您 所 愿，{s0}。
dlga_id:dplmc_chancellor_domestic_policy_info_ask|我 想 了 解 某 个 王 国 的 内 政 方 针。
dlga_id:dplmc_chancellor_domestic_policy_info_select|您 想 了 解 哪 个 王 国？
dlga_id:dplmc_chancellor_domestic_policy_info|{s10}.
dlga_id:dplmc_chancellor_pretalk|没 有。
dlga_id:dplmc_chancellor_domestic_policy_info_ask_2|{s20}
dlga_id:dplmc_chancellor_domestic_policy_ask|调 整 我 们 的 内 政 方 针。
dlga_id:dplmc_chancellor_pretalk_2|算 了。
dlga_id:close_window_117|作 弊
dlga_id:dplmc_chancellor_domestic_policy|{s20} 您 想 调 整 哪 一 项？
dlga_id:dplmc_chancellor_pretalk_3|{s20} 政 策 每 隔 {reg1}天 才 能 调 整 一 次，臣 民 需 要 时 间 适 应。我 们 还 必 须 等 待 {reg0}天。
dlga_id:dplmc_chancellor_domestic_policy_confirm|让 更 多 人 沦 为 农 奴。
dlga_id:dplmc_chancellor_domestic_policy_confirm.1|给 予 人 民 更 多 自 由。
dlga_id:dplmc_chancellor_domestic_policy_confirm.2|将 决 策 权 集 中 于 王 廷。
dlga_id:dplmc_chancellor_domestic_policy_confirm.3|给 予 地 方 当 局 更 多 自 治 权。
dlga_id:dplmc_chancellor_domestic_policy_confirm.4|军 队 宁 求 精 锐，不 求 数 量。
dlga_id:dplmc_chancellor_domestic_policy_confirm.5|数 量 本 身 就 是 一 种 优 势。军 队 宁 多 勿 精。
dlga_id:dplmc_chancellor_domestic_policy_confirm.6|赋 予 贵 族 更 多 权 力。
dlga_id:dplmc_chancellor_domestic_policy_confirm.7|赋 予 商 人 和 贸 易 行 会 更 多 权 力。
dlga_id:dplmc_chancellor_domestic_policy_confirm.8|更 积 极 地 干 预 经 济，提 高 产 量 并 扩 大 出 口。
dlga_id:dplmc_chancellor_domestic_policy_confirm.9|减 少 王 权 对 工 商 业 的 干 预。
dlga_id:dplmc_chancellor_pretalk_4|算 了。
dlga_id:dplmc_chancellor_pretalk_5|我 会 着 手 采 取 一 切 必 要 措 施。
dlga_id:dplmc_chancellor_info_kingdom_ask|我 想 了 解 一 位 领 主。
dlga_id:dplmc_chancellor_info_kingdom_select|您 得 说 得 更 具 体 些。我 需 要 查 阅 名 册，才 能 记 清 这 些 争 吵 不 休 的 领 主 分 别 属 于 哪 个 阵 营……
dlga_id:dplmc_chancellor_info_person_ask|{s11}.
dlga_id:dplmc_chancellor_pretalk_6|算 了。
dlga_id:dplmc_chancellor_info_person_select|您 想 了 解 哪 位 领 主？
dlga_id:dplmc_chancellor_info_person|{s1}.
dlga_id:dplmc_chancellor_pretalk_7|谁 也 不 问。
dlga_id:dplmc_chancellor_pretalk_8|{s47}
dlga_id:dplmc_chancellor_cur_stance|诸 位 领 主 对 {s4} 的 分 封 有 何 看 法？
dlga_id:dplmc_chancellor_pretalk_9|{s10}
dlga_id:dplmc_chancellor_message_ask_type|替 我 向 另 一 位 领 主 传 信。
dlga_id:dplmc_chancellor_message_lord_select|您 想 把 消 息 送 给 谁？
dlga_id:dplmc_chancellor_message_ask|{s1}.
dlga_id:dplmc_chancellor_pretalk_10|算 了。
dlga_id:dplmc_chancellor_pretalk_11|我 想 不 到 合 适 的 人。
dlga_id:dplmc_chancellor_message_select|您 想 对 {s6} 说 些 什 么？
dlga_id:dplmc_chancellor_message_lord_ask|询 问 {reg4?她 :他 } 是 否 愿 意 随 我 出 征。
dlga_id:dplmc_chancellor_message_goto_lord_ask|询 问 {reg4?她:他} 是 否 愿 意 前 往 某 个 地 点 {reg4?:}。
dlga_id:dplmc_chancellor_message_goto_lord_ask.1|询 问 {reg4?她:他} 是 否 愿 意 巡 逻 某 个 地 点 {reg4?:}。
dlga_id:dplmc_chancellor_message_goto_lord_ask.2|询 问 {reg4?她:他} 是 否 愿 意 撤 退 到 某 个 地 点 {reg4?:}。
dlga_id:dplmc_chancellor_message_goto_lord_ask.3|询 问 {reg4?她:他} 是 否 愿 意 围 攻 某 个 地 点 {reg4?:}。
dlga_id:dplmc_chancellor_message_goto_lord_ask.4|询 问 {reg4?她:他} 是 否 愿 意 劫 掠 某 地 周 边 {reg4?:}。
dlga_id:dplmc_chancellor_pretalk_12|算 了。
dlga_id:dplmc_chancellor_message_order_details|您 想 命 令 {reg4?她 :他 } 前 往 哪 里？
dlga_id:dplmc_chancellor_message_lord_ask_2|{s1}
dlga_id:dplmc_chancellor_pretalk_13|哪 里 也 不 去。
dlga_id:dplmc_message_send_confirm|当 然。我 会 派 信 使 前 往 {s11}，询 问 {reg4?她:他} 是 否 愿 意 随 您 出 征。
dlga_id:dplmc_message_send_confirm.1|当 然。我 会 派 信 使 前 往 {s11}，询 问 {reg4?她:他} 是 否 愿 意 前 往 {s12}{reg4?:}。
dlga_id:dplmc_message_send_confirm.2|当 然。我 会 派 信 使 前 往 {s11}，询 问 {reg4?她:他} 是 否 愿 意 在 {s12} 周 边 巡 逻 {reg4?:}。
dlga_id:dplmc_message_send_confirm.3|当 然。我 会 派 信 使 前 往 {s11}，询 问 {reg4?她:他} 是 否 愿 意 撤 退 到 {s12}{reg4?:}。
dlga_id:dplmc_message_send_confirm.4|当 然。我 会 派 信 使 前 往 {s11}，询 问 {reg4?她:他} 是 否 愿 意 围 攻 {s12}{reg4?:}。
dlga_id:dplmc_message_send_confirm.5|当 然。我 会 派 信 使 前 往{s11}，询 问{reg4?如 果 她 准 备 好 了:如 果 准 备 好}是 否 愿 意 在{s12}周 边 劫 掠。
dlga_id:dplmc_chancellor_pretalk_14|多 谢。
dlga_id:dplmc_chancellor_pretalk.1|我 改 变 主 意 了。
dlga_id:dplmc_chancellor_gift_ask_where|我 想 送 出 一 份 礼 物。
dlga_id:dplmc_chancellor_pretalk_15|国 库 里 没 有 足 够 资 金 送 礼！送 出 一 份 礼 物 需 要 花 费 50枚 金 币。
dlga_id:dplmc_chancellor_gift_where|送 出 一 份 礼 物 需 要 花 费 50枚 金 币，我 会 从 国 库 中 支 取。您 想 把 礼 物 送 给 某 个 人，还 是 某 处 定 居 点？
dlga_id:dplmc_chancellor_gift_ask_person|送 给 一 个 人。
dlga_id:dplmc_chancellor_center_gift_ask_type|送 给 一 处 定 居 点。
dlga_id:dplmc_chancellor_pretalk_16|哪 里 也 不 送。
dlga_id:dplmc_chancellor_center_gift_select|我 建 议 送 出 300份 熏 鱼、奶 酪 或 蜂 蜜。若 府 库 中 存 量 足 够，我 会 命 仆 人 送 去。
dlga_id:dplmc_chancellor_center_gift_kingdom_ask|送 些 熏 鱼。
dlga_id:dplmc_chancellor_center_gift_kingdom_ask.1|送 些 奶 酪。
dlga_id:dplmc_chancellor_center_gift_kingdom_ask.2|送 些 蜂 蜜。
dlga_id:dplmc_chancellor_pretalk_17|算 了。
dlga_id:dplmc_chancellor_center_gift_kingdom_select|礼 物 要 送 往 哪 处 定 居 点？
dlga_id:dplmc_chancellor_center_gift_lord_ask|送 往 {s11}。
dlga_id:dplmc_chancellor_pretalk_18|算 了。
dlga_id:dplmc_chancellor_pretalk_19|鉴 于 我 们 正 与 {s11} 交 战，而 且 他 们 尚 未 正 式 承 认 您 的 合 法 地 位，任 何 派 出 的 信 使 都 有 可 能 被 当 作 强 盗 绞 死。
dlga_id:dplmc_chancellor_center_gift_lord_select|您 想 把 礼 物 送 给 哪 处 定 居 点？
dlga_id:dplmc_chancellor_center_gift_send_ask|{s11}.
dlga_id:dplmc_chancellor_pretalk_20|我 改 变 主 意 了。
dlga_id:dplmc_chancellor_center_gift_send_confirm|我 会 派 一 名 仆 人，把 {s6} 送 往 {s11}。
dlga_id:dplmc_chancellor_pretalk_21|多 谢。
dlga_id:dplmc_chancellor_pretalk.1_2|算 了。
dlga_id:dplmc_chancellor_gift_lady_or_lord|您 想 把 礼 物 送 给 一 位 贵 妇，还 是 一 位 领 主？
dlga_id:dplmc_chancellor_gift_ask_type|请 替 我 给 一 位 领 主 送 份 礼 物。
dlga_id:dplmc_chancellor_gift_select|我 建 议 送 上 150份 麦 芽 酒、葡 萄 酒 或 油。若 府 库 中 存 量 足 够，我 会 命 脚 夫 送 去。
dlga_id:dplmc_chancellor_gift_kingdom_ask|送 些 麦 芽 酒。
dlga_id:dplmc_chancellor_gift_kingdom_ask.1|送 些 葡 萄 酒。
dlga_id:dplmc_chancellor_gift_kingdom_ask.2|送 些 油。
dlga_id:dplmc_chancellor_pretalk_22|算 了。
dlga_id:dplmc_chancellor_gift_kingdom_select|您 想 送 礼 的 领 主 居 于 何 处？
dlga_id:dplmc_chancellor_gift_lord_ask|在 {s11}。
dlga_id:dplmc_chancellor_pretalk_23|算 了。
dlga_id:dplmc_chancellor_pretalk_24|鉴 于 我 们 正 与 {s11} 交 战，而 且 他 们 尚 未 正 式 承 认 您 的 合 法 地 位，任 何 派 出 的 信 使 都 有 可 能 被 当 作 强 盗 绞 死。
dlga_id:dplmc_chancellor_gift_lord_select|您 想 把 礼 物 送 给 谁？
dlga_id:dplmc_chancellor_gift_send_ask|{s11}.
dlga_id:dplmc_chancellor_pretalk_25|我 想 不 到 合 适 的 人。
dlga_id:dplmc_chancellor_gift_send_confirm|我 会 派 一 名 仆 人，把 {s6} 送 往 {s11}。
dlga_id:dplmc_chancellor_pretalk_26|多 谢。
dlga_id:dplmc_chancellor_pretalk.1_3|算 了。
dlga_id:dplmc_chancellor_lady_gift_ask_type|请 替 我 给 一 位 贵 妇 送 份 礼 物。
dlga_id:dplmc_chancellor_pretalk_27|算 了。
dlga_id:dplmc_chancellor_lady_gift_select|我 建 议 送 上 染 料、丝 绸 或 天 鹅 绒。若 府 库 中 存 量 足 够，我 会 命 仆 人 送 去。
dlga_id:dplmc_chancellor_lady_gift_kingdom_ask|送 些 染 料。
dlga_id:dplmc_chancellor_lady_gift_kingdom_ask.1|送 些 丝 绸。
dlga_id:dplmc_chancellor_lady_gift_kingdom_ask.2|送 些 天 鹅 绒。
dlga_id:dplmc_chancellor_pretalk_28|算 了。
dlga_id:dplmc_chancellor_lady_gift_kingdom_select|那 位 贵 妇 居 于 何 处？
dlga_id:dplmc_chancellor_lady_gift_lady_ask|在 {s11}。
dlga_id:dplmc_chancellor_pretalk_29|算 了。
dlga_id:dplmc_chancellor_pretalk_30|鉴 于 我 们 正 与 {s11} 交 战，而 且 他 们 尚 未 正 式 承 认 您 的 合 法 地 位，任 何 派 出 的 信 使 都 有 可 能 被 当 作 强 盗 绞 死。
dlga_id:dplmc_chancellor_lady_gift_lady_select|您 想 把 礼 物 送 给 哪 位 贵 妇？
dlga_id:dplmc_chancellor_lady_gift_send_ask|{s11}.
dlga_id:dplmc_chancellor_pretalk_31|我 想 不 到 合 适 的 人。
dlga_id:dplmc_chancellor_lady_gift_send_confirm|我 会 派 一 名 仆 人，把 {s6} 送 往 {s11}。
dlga_id:dplmc_chancellor_pretalk_32|多 谢。
dlga_id:dplmc_chancellor_pretalk.1_4|算 了。
dlga_id:dplmc_chancellor_talk_household|查 看 府 库 中 的 物 品。
dlga_id:spouse_equip|亲 爱 的，把 头 饰 摘 下 来，让 我 看 看 你 的 头 发。
dlga_id:spouse_pretalk|当 然，亲 爱 的。如 你 所 愿……
dlga_id:dplmc_chancellor_pretalk_33|贵 重 之 物 最 好 都 存 放 在 府 库 中。
dlga_id:dplmc_chancellor_pretalk_34|我 想 看 看 各 处 备 用 仓 库 中 存 放 的 物 品。
dlga_id:dplmc_chancellor_dismiss_confirm_ask|我 不 再 需 要 你 的 效 劳 了。
dlga_id:dplmc_chancellor_dismiss_confirm|您 确 定 不 再 需 要 我 效 劳 了 吗？
dlga_id:dplmc_chancellor_dismiss_confirm_yes|是 的，我 意 已 决。{reg33?:}
dlga_id:close_window_118|如 您 所 愿。
dlga_id:dplmc_chancellor_pretalk_35|不，我 还 没 有 决 定。
dlga_id:close_window_119|再 会。
dlga_id:close_window.19|我 很 快 便 会 离 开 这 座 宫 廷。愿 我 多 少 曾 为 您 尽 过 一 份 力，{playername}。
dlga_id:dplmc_constable_talk|随 时 听 候 您 的 吩 咐！
dlga_id:dplmc_constable_talk_2|您 还 有 别 的 吩 咐 吗，{s0}？
dlga_id:dplmc_constable_talk_ask_war|战 事 进 展 如 何？
dlga_id:dplmc_constable_talk_ask_war_2|{s12}
dlga_id:dplmc_constable_talk_ask_war_details|详 细 说 说 我 们 与 {s1} 的 战 事。
dlga_id:dplmc_constable_pretalk|我 想 知 道 的 就 这 些。多 谢。
dlga_id:dplmc_constable_scout_ask|我 需 要 一 处 定 居 点 的 情 报。
dlga_id:dplmc_constable_scout_location|我 们 可 以 派 出 一 名 探 子，费 用 为 300枚 金 币。您 想 让 他 去 哪 里？
dlga_id:dplmc_constable_pretalk_2|我 改 变 主 意 了。
dlga_id:dplmc_constable_scout_location2|您 想 监 视 哪 处 定 居 点？
dlga_id:dplmc_constable_pretalk_3|我 改 变 主 意 了。
dlga_id:dplmc_constable_scout_location_confirm|遵 命。我 会 派 一 名 探 子 前 往 {s11}，并 从 国 库 中 支 取 300枚 金 币。
dlga_id:dplmc_constable_pretalk_4|很 好。
dlga_id:dplmc_constable_pretalk.1|等 等！
dlga_id:dplmc_constable_talk_ask_prisoner|我 想 释 放 一 名 俘 虏。
dlga_id:dplmc_constable_talk_prisoner_select|好 的，您 想 释 放 哪 名 俘 虏？
dlga_id:dplmc_constable_exchange_prisoner_ask_confirm|{s11} 的 {s10}
dlga_id:dplmc_constable_pretalk_5|谁 也 不 放。
dlga_id:dplmc_constable_exchange_prisoner_confirm|遵 命。我 会 通 知 狱 卒，释 放 {s11} 的 {s10}。
dlga_id:dplmc_constable_pretalk_6|很 好，就 这 么 办。
dlga_id:dplmc_constable_pretalk.1_2|不，我 改 变 主 意 了。
dlga_id:dplmc_constable_reports_ask|向 我 呈 交 一 份 报 告。
dlga_id:dplmc_constable_reports|您 想 听 取 哪 方 面 的 报 告？
dlga_id:dplmc_constable_kingdom_overview|呈 报 王 国 军 队 的 状 况。
dlga_id:dplmc_constable_overview|呈 报 我 麾 下 军 队 的 状 况。
dlga_id:dplmc_constable_lord|呈 报 一 位 领 主 战 团 的 状 况。
dlga_id:dplmc_constable_status_lord_select|好 的，您 想 了 解 哪 位 领 主 的 部 队？
dlga_id:dplmc_constable_reports_ask_4|算 了。
dlga_id:dplmc_constable_status|呈 报 一 处 封 地 的 驻 军 状 况。
dlga_id:dplmc_constable_status_select_fief|您 想 了 解 哪 处 封 地？
dlga_id:dplmc_constable_status_2|那 里 没 有 驻 军。所 幸 我 们 的 旗 帜 足 以 把 寻 常 匪 徒 吓 退。
dlga_id:dplmc_constable_reports_ask_5|算 了。
dlga_id:dplmc_constable_pretalk_7|多 谢，暂 时 就 这 些。
dlga_id:dplmc_constable_pretalk_8|我 想 查 看 军 械 库。
dlga_id:dplmc_constable_recruits_and_training_ask|谈 谈 征 募 与 训 练 新 兵 的 事。
dlga_id:dplmc_constable_recruits_and_training|当 然。
dlga_id:dplmc_constable_train_ask|请 替 我 训 练 一 批 新 兵。
dlga_id:dplmc_constable_train_select|当 然。您 想 让 我 们 在 哪 里 训 练 他 们？
dlga_id:dplmc_constable_train_type|您 希 望 我 在 {s11} 训 练 哪 一 类 部 队？
dlga_id:dplmc_constable_pretalk_9|算 了。
dlga_id:dplmc_constable_train_improved_ask|{s1}.
dlga_id:dplmc_constable_train_center|若 您 愿 意，我 可 以 增 聘 教 官，让 新 兵 受 训 得 更 快、更 好。此 举 每 天 需 额 外 花 费 {reg10}枚 金 币。
dlga_id:dplmc_constable_train_improved|若 您 愿 意，我 可 以 增 聘 教 官，提 高 新 兵 的 训 练 成 效。每 提 升 一 级 训 练，每 天 需 额 外 花 费 {reg10}枚 金 币。
dlga_id:dplmc_constable_train_center_2|{s1} 级 教 官 就 够 用 了。
dlga_id:dplmc_constable_train_center.1|好，请 雇 用 {s1} 级 教 官。
dlga_id:dplmc_constable_train_center.2|我 认 为 值 得 雇 用 {s1} 级 教 官。
dlga_id:dplmc_constable_train_center.3|不 惜 代 价，雇 用 {s1} 级 教 官。
dlga_id:dplmc_constable_train_center.4|不，你 得 独 自 训 练 他 们。
dlga_id:dplmc_constable_pretalk_10|明 白。我 会 在 {s11}{s12} 训 练 遇 到 的 第 一 批 新 兵。请 确 保 国 库 中 有 足 够 的 资 金 为 他 们 置 办 装 备 {s13}。若 附 近 建 有 训 练 场，我 们 还 能 训 练 更 多 部 队。
dlga_id:dplmc_constable_pretalk_11|我 改 变 主 意 了，也 许 你 不 该 训 练 他 们。
dlga_id:dplmc_constable_train_stop|停 止 在 {s11} 训 练 新 兵。
dlga_id:dplmc_constable_pretalk_12|如 您 所 愿。
dlga_id:dplmc_constable_recruit|我 想 征 募 一 批 新 兵。
dlga_id:dplmc_constable_pretalk_13|征 募 新 兵 需 要 国 库 拨 款。您 得 先 任 命 一 位 掌 玺 大 臣。
dlga_id:dplmc_constable_pretalk.1_3|你 在 此 地 雇 用 的 征 募 官 已 经 达 到 上 限。
dlga_id:dplmc_constable_recruit_select|若 您 同 意，我 会 派 征 募 官 前 往 附 近 村 庄 征 召 新 兵。招 满 指 定 人 数 后，他 会 返 回 这 座 {reg0?城 镇:城 堡}，把 新 兵 编 入 守 军。城 堡 最 多 可 同 时 派 出 2名 征 募 官，城 镇 最 多 4名。此 外，孤 身 携 带 一 大 袋 金 币 赶 路，往 往 会 招 来 麻 烦。您 想 征 募 哪 一 类 新 兵？
dlga_id:dplmc_constable_recruit_amount|{s11}.
dlga_id:dplmc_constable_recruit_amount_select|每 名 新 兵 需 花 费 {reg10}枚 金 币，另 需 支 付 征 募 官 {reg11}枚 金 币。我 会 从 国 库 中 支 取。您 愿 意 出 钱 征 募 多 少 人？
dlga_id:dplmc_constable_pretalk_14|我 可 以 亲 自 去 征 募。
dlga_id:dplmc_constable_recruit_confirm_ask|{reg12}.
dlga_id:dplmc_constable_recruit_confirm|您 确 定 要 征 募 {reg11}名 {s11} 农 民 吗？
dlga_id:dplmc_constable_pretalk_15|是。
dlga_id:dplmc_constable_pretalk.1_4|否。
dlga_id:dplmc_constable_pretalk_16|我 改 变 主 意 了。
dlga_id:dplmc_constable_security_ask|谈 谈 巡 逻 与 调 兵 之 事。
dlga_id:dplmc_constable_security|当 然。
dlga_id:dplmc_constable_move_troops|我 想 把 一 批 军 队 调 往 别 处。
dlga_id:dplmc_constable_move_troops_location|您 想 把 军 队 调 往 何 处？
dlga_id:dplmc_constable_pretalk_17|哪 里 也 不 去。
dlga_id:dplmc_constable_pretalk_18|您 没 有 选 中 任 何 士 兵。看 来 您 改 变 主 意 了。
dlga_id:dplmc_constable_move_troops_location_confirm|您 确 定 要 把 这 些 军 队 调 往 {s9} 吗？此 举 将 花 费 {reg5}枚 金 币。
dlga_id:dplmc_constable_pretalk_19|是。
dlga_id:dplmc_constable_pretalk.1_5|不。让 我 先 看 看 国 库 是 否 负 担 得 起。
dlga_id:dplmc_constable_patrol_size_ask|我 想 组 建 一 支 巡 逻 队。
dlga_id:dplmc_constable_patrol_size|您 可 以 从 驻 军 中 抽 调 人 手，也 可 以 征 募 新 兵。若 选 择 征 募，小 型 巡 逻 队 需 1000枚 金 币，中 型 需 2000枚，大 型 需 4000枚；还 可 花 费 6000枚 金 币 组 建 一 支 小 型 精 锐 巡 逻 队。士 兵 每 周 都 要 领 取 军 饷，请 确 保 国 库 中 有 足 够 的 钱。
dlga_id:dplmc_constable_patrol_size.1|眼 下 没 有 可 供 征 募 的 新 兵，还 需 等 待 {reg0}天。{reg1?但 你 可 以 从 你 的 驻 军 中 调 遣 :我 们 的 驻 守 部 队 也 没 有 任 何 准 备 }。
dlga_id:dplmc_constable_patrol_garrison|从 驻 军 中 抽 调 人 手。
dlga_id:dplmc_constable_patrol_garrison_2|{reg33?夫 人 :大 人 }，请 挑 选 巡 逻 队 的 人 手。
dlga_id:dplmc_constable_pretalk_20|您 没 有 选 中 任 何 士 兵。看 来 您 改 变 主 意 了。
dlga_id:dplmc_constable_patrol_garrison_location|您 想 把 巡 逻 队 派 往 何 处？
dlga_id:dplmc_constable_pretalk_21|您 没 有 选 中 任 何 士 兵。看 来 您 改 变 主 意 了。
dlga_id:dplmc_constable_patrol_garrison_confirm|您 确 定 要 派 这 支 巡 逻 队 前 往 {s9} 吗？
dlga_id:dplmc_constable_pretalk_22|是。
dlga_id:dplmc_constable_pretalk.1_6|否。
dlga_id:dplmc_constable_patrol_location_ask|组 建 一 支 小 型 巡 逻 队。
dlga_id:dplmc_constable_patrol_location_ask.1|组 建 一 支 中 型 巡 逻 队。
dlga_id:dplmc_constable_patrol_location_ask.2|组 建 一 支 大 型 巡 逻 队。
dlga_id:dplmc_constable_patrol_location_ask.3|挑 选 本 地 最 精 锐 的 士 兵。
dlga_id:dplmc_constable_pretalk_23|都 不 要。
dlga_id:dplmc_constable_patrol_location|您 想 把 巡 逻 队 派 往 何 处？
dlga_id:dplmc_constable_pretalk_24|哪 里 也 不 去。
dlga_id:dplmc_constable_patrol_confirm|您 确 定 要 派 一 支 {s8} 前 往 {s9} 巡 逻 吗？
dlga_id:dplmc_constable_pretalk_25|是。
dlga_id:dplmc_constable_pretalk.1_7|否。
dlga_id:dplmc_constable_patrol_change_ask|我 想 更 改 一 支 巡 逻 队 的 巡 逻 目 标。
dlga_id:dplmc_constable_patrol_change|您 想 让 哪 支 巡 逻 队 改 换 目 标？
dlga_id:dplmc_constable_security_ask_2|哪 一 支 也 不 改。
dlga_id:dplmc_constable_patrol_change_target|您 想 把 它 派 往 何 处？
dlga_id:dplmc_constable_security_ask_3|哪 里 也 不 去。
dlga_id:dplmc_constable_patrol_change_target_confirm|遵 命。我 会 把 巡 逻 {s6} 的 命 令 交 给 信 使，送 往 {s5}。
dlga_id:dplmc_constable_security_ask_4|多 谢。
dlga_id:dplmc_constable_security_ask.1|等 等，还 是 算 了。
dlga_id:dplmc_constable_patrol_to_center_ask|我 想 命 令 一 支 巡 逻 队 返 回 驻 地。
dlga_id:dplmc_constable_patrol_to_center|您 想 让 哪 支 巡 逻 队 返 回 驻 地？
dlga_id:dplmc_constable_security_ask_5|哪 一 支 也 不 调。
dlga_id:dplmc_constable_patrol_to_center_target|您 想 让 它 前 往 哪 处 驻 地？
dlga_id:dplmc_constable_security_ask_6|哪 里 也 不 去。
dlga_id:dplmc_constable_patrol_to_center_confirm|遵 命。我 会 把 前 往 {s6} 的 命 令 交 给 信 使，送 往 {s5}。
dlga_id:dplmc_constable_security_ask_7|多 谢。
dlga_id:dplmc_constable_security_ask.1_2|等 等，还 是 算 了。
dlga_id:dplmc_constable_patrol_disband_ask|我 想 解 散 一 支 巡 逻 队。
dlga_id:dplmc_constable_patrol_disband|您 想 解 散 哪 支 巡 逻 队？
dlga_id:dplmc_constable_pretalk_26|哪 一 支 也 不 解 散。
dlga_id:dplmc_constable_patrol_disband_confirm|遵 命。我 会 派 信 使 前 往 {s5}，传 达 解 散 巡 逻 队 的 命 令。
dlga_id:dplmc_constable_security_ask_8|多 谢。
dlga_id:dplmc_constable_security_ask.1_3|否。
dlga_id:dplmc_constable_pretalk_27|算 了。
dlga_id:dplmc_constable_prisoner|我 手 里 有 些 俘 虏，你 能 替 我 把 他 们 卖 掉 吗？
dlga_id:dplmc_constable_pretalk.1_8|卖 掉 地 牢 中 的 全 部 {reg28}名 俘 虏。
dlga_id:dplmc_constable_garrison_prisoner_sell|当 然，{s0}。地 牢 里 还 剩 {reg0}名 俘 虏 {reg1?以 及 {reg1}个 贵 族 被 监 禁 :}。
dlga_id:dplmc_constable_garrison_prisoner_manage|继 续 出 售。
dlga_id:dplmc_constable_garrison_prisoner_done|到 此 为 止。
dlga_id:dplmc_constable_pretalk_28|但 愿 他 们 能 去 干 些 正 经 营 生，而 不 是 继 续 烂 在 地 牢 里。
dlga_id:dplmc_constable_pretalk_29|马 上 去 办，{s0}。
dlga_id:dplmc_constable_dismiss_confirm_ask|我 不 再 需 要 你 的 效 劳 了。
