qstr_1164|Dummy first line
qstr_{s1}_and_{s2}_have_con|{s1} 和 {s2} 彼 此 缔 结 了 互 不 侵 犯 条 约。
qstr_{s1}_and_{s2}_have_conc|{s1} 和 {s2} 已 彼 此 达 成 互 不 侵 犯 协 定。
qstr_warboss|战 争 首 领
qstr_big_boss|大 头 目
qstr_boss|头 目
qstr_Given_the_way_things|鉴 于 目 前 我 们 之 间 的 立 场，{playername}，我 认 为 这 样 的 安 排 是 不 慎 重 的。
qstr_{playername}_I_am_gr|{playername}，我 很 感 谢 你，但 是 在 人 民 眼 里，你 作 为 一 个 可 能 的 共 同 统 治 者 没 有 足 够 的 合 法 性。嫁 给 你 会 破 坏 我 的 王 位 的 所 有 权。
qstr_{playername}_I_know_|{playername}，我 知 道 若 没 有 你，我 不 可 能 坐 上 王 位 {reg33?:}。但 你 的 名 字 在 旧 世 界 还 不 够 响 亮，与 你 成 婚 会 被 视 为 门 不 当 户 不 对，也 会 让 人 质 疑 我 对 王 位 的 宣 称。
qstr_{playername}_I_am_gra|{playername}，感 谢 你 帮 助 我 夺 回 合 法 王 位 {reg33?:}，但 你 的 个 人 领 地 尚 不 足 以 支 撑 一 场 对 等 的 联 姻。
qstr_{playername}_I_am_grat|{playername}，我 非 常 感 激 你 {reg33?:}，但 若 现 在 接 受，我 可 能 会 冒 犯 {s15} 等 强 大 领 主；他 们 认 为 自 己 的 荣 誉 不 低 于 你。
qstr_{playername}_I_am_grate|{playername}，我 很 感 激 你，但 是 如 果 我 现 在 接 受 的 话，我 会 冒 着 冒 犯 强 大 的 领 主，比 如 {s15}，他 们 可 能 认 为 自 己 比 你 更 有 荣 誉 这 么 做。
qstr_{playername}_while_I|{playername}，虽 然 我 很 感 激 你，但 我 必 须 承 认 我 喜 欢 {s15}。
qstr_Our_realm_has_too_fe|我 们 的 王 国 封 臣 太 少。在 当 前 局 势 不 稳 之 时，我 必 须 以 潜 在 政 治 联 姻 吸 引 新 的 封 臣，因 此 还 不 能 向 任 何 人 作 出 承 诺。
qstr_Because_I_have_insuf|因 为 与 {s15} 相 比，我 的 个 人 财 产 不 足，如 果 我 做 出 这 样 的 安 排，我 将 冒 着 被 视 为 傀 儡 的 风 险，将 王 国 的 稳 定 置 于 危 险 之 中。
qstr_Because_my_personal_|因 为 我 的 个 人 财 产 与 {s14} 的 其 他 领 主 相 比 还 不 够 大，如 果 我 做 出 这 样 的 安 排，我 将 冒 着 被 视 为 傀 儡 的 风 险，将 王 国 的 稳 定 置 于 危 险 之 中。
qstr_I_am_grateful_to_you|我 很 感 激 你 {reg33?:}，{playername}，但 你 在 {s14} 诸 领 主 中 树 敌 过 多。若 我 接 受 这 桩 婚 事，恐 怕 会 引 发 叛 乱。
qstr_You_have_engendered_|你 最 近 引 起 了 太 多 的 争 议，{playername}。如 果 我 在 这 个 时 候 接 受，在 {s14} 的 贵 族 中 可 能 会 引 起 叛 乱。让 我 们 在 愤 怒 平 息 后 再 谈 这 件 事。
qstr_If_you_desire_to_lea|如 果 你 想 领 导 {s14} 与 我 并 肩 作 战，请 在 我 的 臣 民 中 争 取 支 持，成 为 元 帅，并 向 他 们 展 示 你 作 为 战 争 领 袖 的 能 力。
qstr_Our_realm_has_lost_t|我 们 的 王 国 失 去 了 太 多 领 土。我 们 曾 拥 有 {s1}，如 今 却 只 剩 {s0}。当 前 局 势 不 稳，我 必 须 保 留 政 治 联 姻 的 可 能，将 其 作 为 与 其 他 统 治 者 谈 判 的 筹 码，因 此 暂 不 考 虑 作 出 承 诺。让 {s14} 恢 复 昔 日 荣 光，我 便 会 {reg33?欣 然:欣 然} 让 你 以 我 的 {reg33?妻 子:丈 夫} 身 份 与 我 共 同 统 治。
qstr_{s0}_{reg0?have:has}|{s0} 已 落 入 外 人 之 手。让 {s14} 恢 复 其 合 法 疆 界，我 便 会 {reg33?欣 然:欣 然} 让 你 以 我 的 {reg33?妻 子:丈 夫} 身 份 与 我 共 同 统 治。
qstr_You_have_only_been_m|你 只 担 任 了 {reg0}{reg1?天 :天 } 的 元 帅。让 我 们 在 你 担 任 这 个 职 位 至 少 两 周 后 再 谈。
qstr_If_not_for_you_I_wou|若 不 是 你，我 不 可 能 坐 上 这 个 王 位，{playername}。当 我 们 踏 上 漫 漫 征 途 时，鲜 有 人 敢 支 持 我，更 少 有 人 愿 为 我 的 事 业 冒 生 命 危 险。但 你 从 未 迟 疑，毅 然 迎 战 我 的 敌 人。我 们 共 同 经 历 了 无 数 磨 难，并 在 神 明 庇 佑 下 幸 存 至 今。我 愿 接 纳 你 成 为 我 的 {reg33?妻 子:丈 夫}，与 你 共 同 统 治 {s14}。
qstr_You_sold_{reg1}_{reg|你 卖 了 {reg1}{reg3?件 物 品 :件 物 品 } 给 {s0}，获 得 了 {reg0}{reg3?金 币 :金 币 }。
qstr_You_sold_{reg1}_{reg3|你 卖 了 {reg1}{reg3?件 物 品 :件 物 品 } 给 {s0}，获 得 了 {reg0}{reg3?金 币 :金 币 }。
qstr_You_have_bought_{reg|你 购 买 了 {reg2}{reg4?种 食 物 :种 食 物 }，花 费 {reg1}{reg3?金 币 :金 币 }。
qstr_You_sold_{reg2}_{reg|你 卖 了 {reg2}{reg4?种 腐 烂 食 物 :种 腐 烂 食 物 }，获 得 了 {reg1}{reg3?金 币 :金 币 }。
qstr_axe|斧 
qstr_spear|矛 
qstr_bow|弓 
qstr_choppa|砍 刀
qstr_sword|剑 
qstr_axes|斧 
qstr_spears|矛 
qstr_bows|弓 
qstr_choppas|砍 刀
qstr_swords|剑 
qstr_swing_my_axe|挥 动 我 的 斧 头 
qstr_lift_my_spear|举 起 我 的 长 矛 
qstr_loose_my_arrows|射 出 我 的 箭 
qstr_chop_ma_choppa|砍 我 的 砍 刀
qstr_swing_my_sword|挥 动 我 的 剑 
qstr_sultan|苏 丹 
qstr_khans|可 汗 
qstr_sultans|苏 丹 
qstr_warbosses|战 争 首 领 们
qstr_kings|国 王 
qstr_lord|领 主 
qstr_big_bosses|大 首 领 们
qstr_lords|领 主 
qstr_goatherd|羊 倌 
qstr_swineherd|猪 倌 
qstr_stable_{boy/girl}|{reg33?马 厩 女 工:马 倌}
qstr_shepherd_{boy/girl}|{reg33?牧 羊 女:牧 羊 人}
qstr_kvass|克 瓦 斯
qstr_kumis|马 奶 酒 
qstr_mead|蜂 蜜 酒 
qstr_fungus_beer|真 菌 啤 酒
qstr_wine|葡 萄 酒 
qstr_{reg6?M:m}y_poppet|{reg6?我 :我 } 的 宝 贝
qstr_{reg0?Y:y}ou|{reg0?你 :你 }
qstr_{reg0?M:m}yself|{reg0?自 己 :自 己 }
qstr_{reg0?O:o}ur_{s1}_{s|{reg0?你:你} 的 {s1} {s0}
qstr_{reg0?M:m}y_{s1}_{s0|{reg0?我 :我 } 的 {s1}{s0}
qstr_{reg0?Y:y}our_{s1}_{|{reg0?你:你} 的 {s1}{s0}
qstr_{s2}:_{reg3}_{reg4}_|{s2}：{reg3}，{reg4}天 
qstr_{s4}:_{reg4}|{s4}：{reg4}
qstr_{s1}_gathering_suppo|{s1}（募 集 支 持）
qstr_{s1}__intelligence_|{s1}（情 报）
qstr_{s1}__ambassy_|{s1}（出 使 中）
qstr_{s1}__minister|{s1}（大 臣）
qstr_{s1}__under_arms_|{s1}（处 于 战 备 状 态）
qstr_{s1}__attempting_to_|{s1}（试 图 重 新 加 入）
qstr_{s1}__separated_afte|{s1}（战 斗 后 分 离）
qstr__knows_of_you.|听 说 过 你。
qstr__has_no_opinion_abou|对 你 没 有 看 法。
qstr_{s57}_and_{s50}|{s57} 和 {s50}
qstr_the_Old_World.|旧 世 界 
qstr_sworn_{man/woman}|{reg33?宣 誓 效 忠 的 女 子:宣 誓 效 忠 的 男 子}
qstr_ruler|{reg33?女 统 治 者:统 治 者}
qstr_free_{man/woman}|{reg33?自 由 女 子:自 由 男 子}
qstr_{s1}_Renown:_{reg40}|{s1} 声 望：{reg40}，争 议：{reg41}^荣 誉：{reg42}，权 利：{reg43}^你 是 {s44} 的 {s45}^{reg45?{reg46?你 的 陛 下，{s46}，{s47}:你 是 {s45} 的 统 治 者 }:}^^朋 友：^敌 人：^^封 地：^{reg50?{s50}:没 有 封 地 }
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2} {reg46?^以 {s42} 著 称。:}^声 望：{reg40}，争 议：{reg41} {reg46?不 耐 烦: {reg43}:}^{reg44?{s44} 位:} 来 自 {s45} 的 贵 族^{reg46?领 主: {s46}，关 系: {reg47}:统 治 {s45} 的 君 主}^^{reg48?目 前 被 {s48} 囚 禁:}^距 上 次 会 面：{reg49}天^^封 地 {reg51?（已 获 封 地 许 诺）:}：^ {reg50?{s50}:无 封 地}
qstr_conventional|传 统 的 
qstr_adventurous|大 胆 的 
qstr_otherwordly|空 想 的 
qstr_ambitious|有 野 心 的 
qstr_moralist|道 德 的 
qstr_just_met|刚 认 识 
qstr_admirer|仰 慕 者 
qstr_promised|承 诺 的 
qstr_breakup|破 裂 的 
qstr_unknown|未 知 的 
qstr_Heroic_{s50}|英 勇 的 {s50}
qstr_Allegoric_{s50}|寓 意 的 {s50}
qstr_Comic_{s50}|滑 稽 的 {s50}
qstr_Mystic_{s50}|神 秘 的 {s50}
qstr_Tragic_{s50}|悲 惨 的 {s50}
qstr_{s1}{s2}_Controversy|{s1}{s2} 争 议：{reg41}^荣 誉：{s42}，求 爱 状 态：{s43}^属 于 {s45}^{reg46?她 的 父 亲，{s46}:她 的 监 护 人，{s46}}{s47}^允 许 访 问：{reg45?是 :否 }{reg48?与 {s48} 订 婚 :}^^自 从 上 次 会 面 以 来 的 天 数：{reg49}^^诗 歌：^{reg50?{s50}:未 听 过 诗 歌 }
qstr_Gathering_support|募 集 支 持 
qstr_Gathering_intelligen|在 {s66} 收 集 情 报 
qstr_Ambassy_to_{s66}|驻 {s66} 大 使 
qstr_Minister|部 长 
qstr_{s1}_{s2}^Reputation|{s1}，{s2}^荣 誉：{s42}^出 生 于 {s43}^联 系 地 点 在 {s44} 的 {s45}。^^{reg48?目 前 是 {s48} 的 囚 犯 :}^自 从 上 次 交 谈 以 来 的 天 数：{reg49}^^当 前 任 务：^{s50}{reg50?，在 {reg50}天 后 返 回。:}
qstr_{s1}^|{s1}^
qstr_A_{s0}_is_being_buil|正 在 建 造 一 个 {s0}。它 将 在 {reg6}天 内 完 成 
qstr_{s20}{reg2?Our_gover|{s20}{reg2?我 们 的 政 府 :{s5} 的 政 府 } 是 {s0}.{reg3?^:}
qstr_{s20}The_upper_class|{s20} 上 层 社 会 是 {s0}.{reg3?^:}
qstr_{s20}{reg2?Our:The}_|{s20}{reg2?我 们 的 :} 人 民 是 {s0}.{reg3?^:}
qstr_{s20}{reg2?Our:The}_t|{s20}{reg2?我 们 的 :} 军 队 是 {s0}.{reg3?^:}
qstr_{s20}{reg2?Our:The_g|{s20}{reg2?我 们 的 :政 府 的 } 贸 易 策 略 {s0}.{reg3?^:}
qstr_You_can_find_{s10}s_|你 可 以 在 {s11} 找 到 {s10}。
qstr_You_have_raised_{reg|你 筹 集 了 {reg0}/{reg1}金 币 作 为 赎 金 
qstr_You_have_been_knocke|你 被 敌 人 击 倒 了 {reg33?:}。你 可 以 观 看 部 下 继 续 战 斗，也 可 以 按 Tab键 撤 退。
qstr_Selected_Troop:_{s1}|选 中 的 部 队：{s1}
qstr_No_Troops_Left.|无 剩 余 部 队 
qstr_{s1}_troops|{s1} 部 队 
qstr_Acquired_{s0}_s_clot|获 得 {s0} 的 衣 服 
qstr_adding_{s1}_to_entry|将 {s1} 添 加 到 条 目 
qstr_{s0}_will_be_under_y|{s0} 将 在 您 的 命 令 下 
qstr_The_plague_spreads.|瘟 疫 蔓 延 
qstr_{s6}_has_learnt_the_|{s6} 学 会 了 闪 避 技 能
qstr_{s6}_has_learnt_the_i|{s6} 学 会 了 忽 略 痛 苦 技 能
qstr_{s6}_has_learnt_the_m|{s6} 学 会 了 重 击 技 能
qstr_{s6}_has_bought_a_6+|{s6} 购 买 了 6+守 护 豁 免
qstr_{s6}_has_bought_a_5+|{s6} 购 买 了 5+守 护 豁 免
qstr_{s6}_has_bought_a_4+|{s6} 购 买 了 4+守 护 豁 免
qstr_{s6}_has_bought_Magi|{s6} 购 买 了 魔 法 抗 性 6+
qstr_{s6}_has_bought_Magic|{s6} 购 买 了 魔 法 抗 性 5+
qstr_{s6}_has_bought_Magic_|{s6} 购 买 了 魔 法 抗 性 4+
qstr_{s6}_has_bought_Magic_R|{s6} 购 买 了 魔 法 抗 性 3+
qstr_{s6}_has_bought_Magic_Re|{s6} 购 买 了 魔 法 抗 性 2+
qstr_{reg5}_mana_used_to_|消 耗 {reg5}点 法 力 强 化 本 次 施 法
qstr_You_do_not_have_enou|你 没 有 足 够 的 法 力 强 化 本 次 施 法
qstr_Your_attempt_to_cast_{|你 尝 试 施 放 {s2} 失 败 
qstr_Your_next_hit_with_t|你 的 施 灵 之 刃 下 一 次 命 中 将 造 成 双 倍 伤 害，敌 人 的 守 护 豁 免 与 无 视 痛 苦 均 无 效。
qstr_Your_next_with_the_E|你 的 施 灵 之 刃 的 下 一 次 命 中 将 造 成 双 倍 伤 害 
qstr_Your_next_with_the_En|你 的 施 灵 之 刃 的 下 一 次 命 中 将 造 成 额 外 50%伤 害 
qstr_Your_next_hit_with_th|你 的 施 灵 之 刃 下 一 次 命 中 将 造 成 三 倍 伤 害，敌 人 的 守 护 豁 免 与 无 视 痛 苦 均 无 效。
qstr_Your_next_with_the_Ens|你 的 施 灵 之 刃 的 下 一 次 命 中 将 造 成 三 倍 伤 害 
qstr_Your_next_hit_with_the|你 的 施 灵 之 刃 下 一 次 命 中 将 造 成 四 倍 伤 害，敌 人 的 守 护 豁 免 与 无 视 痛 苦 均 无 效。
qstr_Your_next_with_the_Enso|你 的 施 灵 之 刃 的 下 一 次 命 中 将 造 成 四 倍 伤 害 
qstr_The_demon_bound_to_t|战 锤 的 伴 生 恶 魔 赋 予 你 额 外 的 速 度 
qstr_The_demon_bound_to_th|战 锤 的 伴 生 恶 魔 赋 予 你 精 准 度 提 高 
qstr_The_demon_bound_to_the|战 锤 的 伴 生 恶 魔 赋 予 你 强 力 打 击 
qstr_The_demon_bound_to_the_|战 锤 的 伴 生 恶 魔 赋 予 你 高 级 无 视 痛 苦 
qstr_The_demon_bound_to_the_w|战 锤 的 伴 生 恶 魔 赋 予 你 5+魔 法 抵 抗 
qstr_The_demon_bound_to_the_wa|战 锤 中 封 印 的 恶 魔 赋 予 你 6+守 护 豁 免（不 会 覆 盖 已 有 的 更 高 等 级）
qstr_The_demon_bound_to_the_war|战 锤 中 封 印 的 恶 魔 赋 予 你 5+守 护 豁 免（不 会 覆 盖 已 有 的 更 高 等 级）
qstr_The_demon_bound_to_the_warh|战 锤 的 伴 生 恶 魔 赋 予 你 25%近 战 伤 害 提 高 
qstr_{s2}_has_resisted_yo|{s2} 抵 抗 了 你 的 魔 法 
qstr_You_have_resisted_{s|你 抵 抗 了 {s1} 的 魔 法 
qstr_{reg6}_nearby_allies|{reg6}附 近 的 友 军 士 气 低 落 
qstr_{reg7}_nearby_allies|{reg7}附 近 的 友 军 士 气 非 常 低 落 
qstr_{reg6}_nearby_enemie|{reg6}附 近 的 敌 人 士 气 低 落 
qstr_{reg7}_nearby_enemie|{reg7}附 近 的 敌 人 士 气 非 常 低 落 
qstr_{reg6}_nearby_allies_|{reg6}附 近 的 友 军 受 到 轻 微 伤 害 
qstr_{reg7}_nearby_allies_|{reg7}附 近 的 友 军 受 到 伤 害 
qstr_{reg8}_nearby_allies|{reg8}附 近 的 友 军 受 到 大 量 伤 害 
qstr_{reg9}_nearby_allies|{reg9}附 近 的 友 军 受 到 严 重 伤 害 
qstr_{reg6}_nearby_allied|{reg6}附 近 的 亡 灵 友 军 受 到 轻 微 伤 害 
qstr_{reg7}_nearby_allied|{reg7}附 近 的 亡 灵 友 军 受 到 伤 害 
qstr_{reg8}_nearby_allied|{reg8}附 近 的 亡 灵 友 军 受 到 大 量 伤 害 
qstr_{reg9}_nearby_allied|{reg9}附 近 的 亡 灵 友 军 受 到 严 重 伤 害 
qstr_{reg5}_nearby_enemie|{reg5}附 近 的 敌 人 获 得 特 殊 能 力 
qstr_{reg6}_nearby_allied_|附 近 有 {reg6}名 友 方 步 兵 获 得 剧 毒 攻 击。
qstr_{reg7}_nearby_allied_|附 近 有 {reg7}名 友 方 弓 箭 手 获 得 剧 毒 攻 击。
qstr_{reg8}_nearby_allied_|附 近 有 {reg8}名 友 方 骑 兵 获 得 剧 毒 攻 击。
qstr_{reg9}_nearby_other_|附 近 另 有 {reg9}名 友 军 部 队 获 得 剧 毒 攻 击。
qstr_{reg6}_ranged_allies|{reg6}远 程 友 军 获 得 普 通 弹 药 
qstr_You_have_recovered_f|你 已 经 从 瘟 疫 中 恢 复 过 来 了 
qstr_You_are_cured_of_you|你 的 病 好 了 
qstr_You_already_are_ethe|你 已 经 处 于 灵 体 状 态，药 水 无 效。
qstr_You_gain_dodge|你 获 得 闪 避 
qstr_You_gain_master_igno|你 获 得 大 师 级 忽 略 痛 苦
qstr_You_gain_advanced_ign|你 获 得 高 级 无 视 痛 苦 
qstr_You_gain_ignore_pain|你 获 得 无 视 痛 苦 
qstr_Potion_removed_from_|药 水 从 库 存 中 移 除
qstr_Potion_removed_from_p|药 水 从 药 水 腰 带 中 移 除
qstr_{s18}_removed_potion|{s18} 已 移 除，仅 限 药 水
qstr_{s18}_removed_belt_c|{s18} 已 移 除，腰 带 容 量 为 9瓶 药 水
qstr_Poison_effects_for_b|战 斗 毒 药 效 果：
qstr_Movement_speed_modif|移 速 -{reg10}%
qstr_Melee_damage_modifie|近 战 伤 害 -{reg11}%
qstr_Ranged_accuracy_and_|远 程 精 度 和 装 填 速 度 -{reg12}%
qstr_Casting_roll_penalty|施 法 检 定 惩 罚：{reg13}
qstr_Mana_cost_penalty_+_|法 力 消 耗 惩 罚 +{reg13}%
qstr_{s3}_has_cast_spirit|{s3} 施 放 了 灵 魂 汲 取。如 果 统 御 检 定 失 败，敌 人 将 受 到 严 重 伤 害。
qstr_{s3}_has_cast_Traito|{s3} 施 放 了 塔 恩 的 叛 徒。{s2} 成 为 他 们 的 盟 友 
qstr_{s3}_has_cast_Madnes|{s3} 施 放 了 精 神 错 乱。{s2} 成 为 他 们 的 盟 友 
qstr_Ironflesh_test_passe|铁 骨 检 定 通 过。
qstr_{s3}_has_cast_death_|{s3} 施 放 了 死 亡 痉 挛。如 果 铁 骨 检 定 失 败，{s2} 死 亡 
qstr_{s3}_has_cast_arcane|{s3} 施 放 了 秘 法 裂 解。{s2}受 到 伤 害，且 装 备 有 几 率 被 摧 毁。
qstr_{s3}_has_cast_Khizaa|{s3} 施 放 了 基 扎 尔 的 窃 魂 术。如 果 统 御 检 定 失 败，{s2} 受 到 轻 微 到 严 重 伤 害。{s1} 获 得 额 外 召 唤 力。
qstr_You_win_the_battle_o|你 赢 得 了 意 志 之 战。
qstr_You_lose_the_battle_|你 输 了 意 志 之 战。
qstr_{s3}_has_cast_glean_|{s3} 施 放 了 窃 取 魔 法。{s2} 受 到 严 重 伤 害；若 在 意 志 对 决 中 失 败，下 一 个 魔 法 阶 段 将 无 法 施 法。
qstr_{s3}_has_cast_bolt_o|{s3} 施 放 了 变 幻 之 箭。{s2} 受 到 严 重 伤 害。
qstr_Leadership_test_fail|统 御 检 定 失 败。
qstr_{s3}_has_cast_pavane|{s3} 施 放 了 色 孽 舞 曲。如 果 统 御 检 定 失 败，{s2} 受 到 严 重 伤 害。
qstr_{s3}_has_cast_Sekhub|{s3} 施 放 了 塞 库 比 的 愤 怒 咒。{s2} 将 受 到 严 重 伤 害。
qstr_Power_of_da_Waaagh_b|daWaaagh之 力 奖 励：致 死 伤 
qstr_Power_of_da_Waaagh_bo|daWaaagh之 力 奖 励：致 命 伤 
qstr_Power_of_da_Waaagh_bon|daWaaagh之 力 奖 励：大 伤 
qstr_Power_of_da_Waaagh_bonu|daWaaagh之 力 奖 励：小 伤 
qstr_Power_of_da_Waaagh_bonus|daWaaagh之 力 奖 励：无 伤 
qstr_{s3}_has_cast_brain_|{s3} 施 放 了 爆 脑 术。{s2} 受 到 严 重 伤 害。
qstr_Power_of_da_Waaagh_bonus:|daWaaagh之 力 奖 励：致 死 伤 
qstr_{s3}_has_cast_eadbut|{s3} 施 放 了 头 槌 冲 击 波。{s2} 受 到 非 常 高 伤 害。
qstr_{s3}_has_cast_midwin|{s3} 施 放 了 隆 冬 之 吻。{s2} 将 受 到 伤 害。
qstr_{s3}_has_cast_sun_st|{s3} 施 放 了 烈 日 打 击。{s2} 将 受 到 伤 害。
qstr_{s3}_has_cast_bray_s|{s3} 施 放 了 兽 吼。{s2} 将 受 到 伤 害。
qstr_{s37}_has_knocked_ou|{s37} 用 {reg39}点 魔 法 伤 害 击 晕 了 {s38}。
qstr_{s37}_has_killed_{s3|{s37} 以  {reg39}的 魔 法 伤 害 杀 死 了 {s38}。
qstr_{s38}_knocked_uncons|{s38} 被 {s37} 打 晕。
qstr_{s38}_killed_by_{s37|{s38} 被 {s37} 杀 死。
qstr_Your_willpower_recov|你 的 意 志 力 再 一 次 使 你 恢 复 了 领 导 军 队 的 能 力。
qstr_Your_willpower_gains|你 的 意 志 力 使 你 的 下 一 次 施 法 检 定 获 得 +{reg4}加 成。
qstr_Your_willpower_gains_|你 的 意 志 力 使 你 的 下 一 次 施 法 检 定 获 得 +2加 成。
qstr_You_can_focus_your_w|你 可 以 在 这 场 战 斗 中 更 多 地 集 中 你 的 意 志 力 {reg5}
qstr_You_have_gained_{reg|你 获 得 {reg4}点 统 治 权 
qstr_You_have_gained_magi|你 获 得 魔 抗 4+
qstr_You_have_gained_magic|你 获 得 魔 抗 5+
qstr_You_have_gained_magic_|你 获 得 魔 抗 6+
qstr_You_have_gained_magic_r|你 获 得 魔 抗 2+
qstr_You_have_gained_magic_re|你 获 得 魔 抗 3+
qstr_Your_attempt_to_cast_P|你 尝 试 施 放 菲 的 庇 护 之 光 失 败。
qstr_{s1}s_attempt_to_cast_P|{s1}尝 试 施 放 菲 的 庇 护 之 光 失 败。
qstr_Enemy|敌 人 
qstr_Allied|友 方 
qstr_{s1}_has_cast_Phas_P|{s1}施 放 了 菲 的 庇 护 之 光。敌 人 远 程 精 度 下 降
qstr_{s1}_has_cast_Phas_Pr|{s1}施 放 了 菲 的 庇 护 之 光。{s3}远 程 精 度 下 降
qstr_Your_attempt_to_cast_Sp|你 尝 试 施 放 光 速 失 败。
qstr_{s1}s_attempt_to_cast_S|{s1}尝 试 施 放 光 速 失 败。
qstr_allied|友 方 
qstr_enemy|敌 人 
qstr_{s1}_has_cast_Speed_|{s1}施 放 了 光 速。附 近{s2}部 队 的 战 斗 能 力 增 强 了。
qstr_Your_attempt_to_cast_G|你 尝 试 施 放 光 速 失 败。
qstr_{s1}s_attempt_to_cast_G|{s1}尝 试 施 放 光 速 失 败。
qstr_{s1}_has_cast_Glory.|{s1}施 放 了 光 速。附 近{s2}部 队 的 战 斗 能 力 增 强 了。
qstr_Your_attempt_to_cast_R|你 尝 试 施 放 征 战 之 光 失 败。
qstr_{s1}s_attempt_to_cast_R|{s1}尝 试 施 放 征 战 之 光 失 败。
qstr_Your_venom_has_been_|你 的 毒 素 已 被 治 愈。
qstr_You_are_no_longer_su|你 不 再 遭 受 中 毒 效 果。
qstr_{s1}_has_cast_Radian|{s1}施 放 了 征 战 之 光。所 有 {s2}部 队 的 勇 气 提 高，溃 逃 部 队 重 整，并 清 除 所 有 中 毒 和 毒 素 效 果。
qstr_Your_attempt_to_cast_Sh|你 尝 试 施 放 闪 耀 斗 篷 失 败。
qstr_{s1}s_attempt_to_cast_Sh|{s1}尝 试 施 放 闪 耀 斗 篷 失 败。
qstr_{s1}s_attempt_to_cast_Shi|{s1}尝 试 施 放 闪 耀 斗 篷 失 败。
qstr_{s1}_has_cast_Shimme|{s1}施 放 了 闪 耀 斗 篷。斗 篷 有 83%几 率 吸 收 所 有 远 程 伤 害。
qstr_Your_attempt_to_cast_N|你 尝 试 施 放 阿 明 托 克 之 网 失 败。
qstr_{s1}s_attempt_to_cast_N|{s1}尝 试 施 放 阿 明 托 克 之 网 失 败。
qstr_Your_attempt_to_cast_Ne|你 尝 试 施 放 阿 明 托 克 之 网 失 败。
qstr_{s1}_has_cast_Net_of|{s1}施 放 了 阿 明 托 克 之 网。受 影 响 的{s2}部 队 移 速 和 射 击 精 度 减 弱。
qstr_{s1}_has_cast_Net_of_|{s1}施 放 了 阿 明 托 克 之 网。受 影 响 的 敌 军 部 队 若 强 击 检 定 失 败，移 动 速 度 和 远 程 精 度 将 降 低。
qstr_Your_attempt_to_cast_b|你 尝 试 施 放 放 逐 之 光 失 败。
qstr_{s1}s_attempt_to_cast_b|{s1}尝 试 施 放 放 逐 之 光 失 败。
qstr_{s1}_has_cast_Banish|{s1}施 放 了 放 逐 之 光。{s2}部 队 在 范 围 内 的 受 到 伤 害。
qstr_{s1}_has_cast_Banishm|{s1}施 放 了 放 逐 之 光。敌 人 部 队 在 范 围 内 的 受 到 伤 害。
qstr_Your_attempt_to_cast_B|你 尝 试 施 放 拜 若 纳 的 时 间 扭 曲 失 败。
qstr_{s1}s_attempt_to_cast_B|{s1}尝 试 施 放 拜 若 纳 的 时 间 扭 曲 失 败。
qstr_{s1}_has_cast_Birona|{s1}施 放 了 拜 若 纳 的 时 间 扭 曲。{s2}部 队 速 度 和 战 斗 能 力 增 强
qstr_Your_attempt_to_cast_t|你 尝 试 施 放 抛 光 金 护 手 失 败。
qstr_{s1}s_attempt_to_cast_t|{s1}尝 试 施 放 抛 光 金 护 手 失 败。
qstr_{s1}_has_cast_the_Bu|{s1}施 放 了 抛 光 金 护 手。66%几 率 受 影 响{s2}部 队 受 到 伤 害。
qstr_Your_attempt_to_cast_p|你 尝 试 施 放 锈 蚀 瘟 疫 失 败。
qstr_{s1}s_attempt_to_cast_p|{s1}尝 试 施 放 锈 蚀 瘟 疫 失 败。
qstr_{s1}_has_cast_Plague_|{s1}施 放 了 锈 蚀 瘟 疫。{s2}护 甲 被 瓦 解
qstr_Your_attempt_to_cast_T|你 尝 试 施 放 坩 埚 失 败。
qstr_{s1}s_attempt_to_cast_T|{s1}尝 试 施 放 坩 埚 失 败。
qstr_{s1}_has_cast_the_Cr|{s1} 施 放 了 坩 埚，并 传 送 至 战 场 的 另 一 处。
qstr_Your_attempt_to_cast_e|你 尝 试 施 放 艾 班 之 刃 附 魔 失 败。
qstr_{s1}s_attempt_to_cast_e|{s1}尝 试 施 放 艾 班 之 刃 附 魔 失 败。
qstr_{s1}_has_cast_enchant|{s1}施 放 了 艾 班 之 刃 附 魔。附 近{s3}部 队 的 战 斗 能 力 增 强 了。
qstr_Your_attempt_to_cast_g|你 尝 试 施 放 闪 耀 长 袍 失 败。
qstr_{s1}s_attempt_to_cast_g|{s1}尝 试 施 放 闪 耀 长 袍 失 败。
qstr_{s1}_has_cast_glitter|{s1}施 放 了 闪 耀 长 袍。附 近{s3}部 队 伤 害 抗 性 增 加
qstr_Your_attempt_to_cast_tr|你 尝 试 施 放 铅 之 炼 金 术 失 败。
qstr_{s1}s_attempt_to_cast_tr|{s1}尝 试 施 放 铅 之 炼 金 术 失 败。
qstr_{s1}_has_cast_transmu|{s1}施 放 了 铅 之 炼 金 术。受 影 响 的{s2}部 队 移 动 和 战 斗 能 力 减 弱
qstr_Your_attempt_to_cast_f|你 尝 试 施 放 终 极 炼 金 术 失 败。
qstr_{s1}s_attempt_to_cast_f|{s1}尝 试 施 放 终 极 炼 金 术 失 败。
