menu_1164|Dummy first line
mno_id_1112|我 能 学 习 哪 些 法 术？
mno_id_1113|选 择 黄 金 魔 法 作 为 我 的 学 派。
menu_id_168|光 明 魔 法—— 光 明 学 派
mno_id_1115|了 解 光 明 魔 法。
mno_id_1118|选 择 光 明 魔 法 作 为 我 的 学 派。
menu_id_169|乡 野 魔 法
mno_id_1120|了 解 边 缘 魔 法。
mno_id_1121|边 缘 魔 法 有 学 派 特 性 吗？
mno_id_1123|选 择 修 习 乡 野 魔 法。
menu_id_170|天 空 魔 法—— 天 空 学 派
mno_id_1125|了 解 天 空 魔 法。
mno_id_1128|选 择 天 空 魔 法 作 为 我 的 学 派。
menu_id_171|阴 影 魔 法—— 阴 影 学 派
mno_id_1130|了 解 阴 影 魔 法。
mno_id_1133|选 择 阴 影 魔 法 作 为 我 的 学 派。
menu_id_172|死 亡 魔 法—— 紫 晶 学 派
mno_id_1135|了 解 死 亡 魔 法。
mno_id_1138|选 择 死 亡 魔 法 作 为 我 的 学 派。
menu_id_173|火 焰 魔 法—— 火 焰 学 派
mno_id_1140|了 解 火 焰 魔 法。
mno_id_1143|选 择 火 焰 魔 法 作 为 我 的 学 派。
menu_id_174|野 兽 魔 法—— 琥 珀 学 派
mno_id_1145|了 解 野 兽 魔 法。
mno_id_1148|选 择 野 兽 魔 法 作 为 我 的 学 派。
menu_id_175|高 等 魔 法
mno_id_1150|了 解 高 等 魔 法。
mno_id_1153|选 择 高 等 魔 法 作 为 我 的 学 派。
menu_id_176|黑 暗 魔 法
mno_id_1155|了 解 黑 暗 魔 法。
mno_id_1158|选 择 黑 暗 魔 法 作 为 我 的 学 派。
menu_id_177|亡 灵 魔 法
mno_id_1160|了 解 亡 灵 魔 法。
mno_id_1163|选 择 亡 灵 魔 法 作 为 我 的 学 派。
menu_id_178|吸 血 鬼 魔 法
mno_id_1165|了 解 吸 血 鬼 魔 法。
mno_id_1168|选 择 吸 血 鬼 魔 法 作 为 我 的 学 派。
menu_id_179|奸 奇 魔 法
mno_id_1170|了 解 奸 奇 魔 法。
mno_id_1173|选 择 奸 奇 魔 法 作 为 我 的 学 派。
menu_id_180|色 孽 魔 法
mno_id_1175|了 解 色 孽 魔 法。
mno_id_1178|选 择 色 孽 魔 法 作 为 我 的 学 派。
menu_id_181|纳 垢 魔 法
mno_id_1180|了 解 纳 垢 魔 法。
mno_id_1183|选 择 纳 垢 魔 法 作 为 我 的 学 派。
menu_id_182|小 Waagh！魔 法
mno_id_1185|了 解 小 Waaagh！魔 法。
mno_id_1188|选 择 小 Waaagh！魔 法 作 为 我 的 学 派。
menu_id_183|大 Waagh！魔 法
mno_id_1190|了 解 大 Waaagh！魔 法。
mno_id_1193|选 择 大 Waaagh！魔 法 作 为 我 的 学 派。
menu_id_184|毁 灭 魔 法
mno_id_1195|了 解 毁 灭 魔 法。
mno_id_1198|选 择 毁 灭 魔 法 作 为 我 的 学 派。
menu_id_185|瘟 疫 魔 法
mno_id_1200|了 解 瘟 疫 魔 法。
mno_id_1203|选 择 瘟 疫 魔 法 作 为 我 的 学 派。
menu_id_186|寒 冰 魔 法
mno_id_1205|了 解 寒 冰 魔 法。
mno_id_1208|选 择 寒 冰 魔 法 作 为 我 的 学 派。
menu_id_187|沙 漠 魔 法
mno_id_1210|了 解 沙 漠 魔 法。
mno_id_1213|选 择 沙 漠 魔 法 作 为 我 的 学 派。
menu_id_188|荒 野 魔 法
mno_id_1215|了 解 荒 野 魔 法。
mno_id_1218|选 择 荒 野 魔 法 作 为 我 的 学 派。
menu_id_189|尼 赫 喀 拉 魔 法
mno_id_1220|了 解 尼 赫 喀 拉 魔 法。
mno_id_1223|选 择 尼 赫 喀 拉 魔 法 作 为 我 的 学 派。
menu_id_190|吉 兰 之 风 象 征 生 命 与 繁 衍，流 淌 于 世 界 各 地。凡 人 从 它 丰 沛 而 慷 慨 的 波 动 中，领 悟 了 生 命 魔 法，也 就 是 翡 翠 魔 法。
mno_id_1225|明 白 了。
menu_id_191|每 次 成 功 施 法，都 会 为 施 法 者 恢 复 生 命 值。
menu_id_192|翡 翠 魔 法 能 治 疗 和 保 护 你 的 部 队，甚 至 唤 醒 失 去 意 识 的 盟 友。该 学 派 没 有 魔 法 飞 弹，但 拥 有 两 个 伤 害 型 范 围 法 术，其 中 包 括 强 大 的“地 灵 觉 醒”。
menu_id_193|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 翡 翠 魔 法 吗？
mno_id_1228|是 的，我 要 专 精 生 命 魔 法。
mno_id_1229|我 现 在 还 不 愿 作 出 承 诺。
menu_id_194|查 蒙 之 风 是 魔 法 之 风 中 的 异 类。它 与 物 质 元 素 紧 密 相 连，物 质 越 沉 重，联 系 就 越 强。黄 金 魔 法 借 此 操 控 黄 金 的 本 质，并 按 照 现 实 严 密 的 法 则 完 成 嬗 变。长 年 研 究 查 蒙 的 法 师，也 会 逐 渐 变 得 像 黄 金 一 样 冷 硬、理 性 而 不 近 人 情。
menu_id_195|对 重 甲 部 队 造 成 额 外 伤 害；魔 法 攻 击 视 为 火 焰 伤 害：
menu_id_196|黄 金 魔 法 能 摧 毁 敌 人 的 盔 甲，让 他 们 暴 露 在 你 的 部 队 面 前。你 还 可 以 用“灼 热 毁 灭”和 强 大 的 范 围 法 术“终 极 嬗 变”造 成 伤 害。不 过，与 大 多 数 学 派 不 同，这 些 法 术 以 施 法 者 为 中 心，所 以 你 必 须 靠 近 敌 人。该 学 派 也 有 强 大 的 增 益 法 术，可 以 保 护 并 强 化 盟 友。
menu_id_197|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 黄 金 魔 法 吗？
mno_id_1233|是 的，我 要 专 精 黄 金 魔 法。
menu_id_198|辉 煌 而 耀 眼 的 海 希 之 风，是 光 明 魔 法 的 源 泉。它 象 征 纯 洁、真 理、守 护 与 治 愈。驾 驭 海 希 的 法 师 能 以 光 明 照 破 最 深 的 黑 暗，治 愈 肉 体 与 灵 魂 的 重 创，并 无 情 地 驱 散、摧 毁 邪 恶 的 化 身。
menu_id_199|光 明 魔 法 对 亡 灵 和 恶 魔 造 成 双 倍 伤 害。
menu_id_200|光 明 魔 法 擅 长 提 高 盟 友 的 移 动 与 武 器 挥 舞 速 度，并 减 慢 敌 人。“比 罗 纳 的 时 光 扭 曲”是 游 戏 中 最 强 的 加 速 法 术；对 援 军 施 放 后，他 们 能 以 两 倍 速 度 赶 到 战 场。该 学 派 还 有 一 个 魔 法 飞 弹 和 一 个 专 门 消 灭 亡 灵 的 范 围 法 术。
menu_id_201|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 光 明 魔 法 吗？
mno_id_1238|是 的，我 要 专 精 光 明 魔 法。
menu_id_202|边 缘 法 师 不 受 正 规 魔 法 学 派 的 束 缚，可 以 自 行 摸 索 并 使 用 所 能 掌 握 的 法 术；不 过，他 们 的 法 术 往 往 更 弱，也 不 如 学 院 法 术 那 般 壮 观。
menu_id_203|边 缘 魔 法 并 非 正 规 的 魔 法 学 派，因 此 没 有 专 属 的 学 派 特 性。
menu_id_204|你 可 以 学 习 边 缘 法 师 多 年 来 摸 索 出 的 优 秀 法 术。它 们 涉 猎 八 大 魔 法 学 派 中 的 多 个 领 域，威 力 各 有 不 同，但 主 要 以 伤 害 与 增 益 法 术 为 主。
menu_id_205|选 定 之 后 便 无 法 更 换 其 他 学 派。你 确 定 要 专 精 边 缘 魔 法 吗？
mno_id_1243|是 的，我 愿 投 身 边 缘 魔 法。
menu_id_206|天 空 魔 法 源 自 阿 兹 尔 之 风。它 流 经 天 空、星 辰，甚 至 时 间 本 身。与 阿 兹 尔 建 立 联 系 的 法 师，会 逐 渐 学 会 操 控 天 气、召 唤 苍 穹 之 力、预 见 乃 至 改 变 未 来；随 着 灵 魂 超 越 物 质 束 缚，他 们 的 力 量 也 会 越 来 越 强。
menu_id_207|与 天 气 有 关 的 随 机 事 件 不 会 产 生 负 面 结 果。
menu_id_208|天 空 魔 法 是 进 攻 性 很 强 的 学 派，拥 有 多 种 魔 法 飞 弹 和 范 围 法 术。“谐 律 汇 聚”能 让 弱 小 的 部 队 也 有 机 会 伤 到 任 何 敌 人；“子 夜 之 风 诅 咒”则 可 以 封 锁 敌 人 的 特 殊 能 力。
menu_id_209|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 天 空 魔 法 吗？
mno_id_1248|是 的，我 要 专 精 天 空 魔 法。
menu_id_210|迷 雾 般 的 乌 尔 古 之 风，是 阴 影 魔 法 的 源 泉。它 将 万 物 笼 罩 在 昏 暗 的 浓 雾 中，象 征 幻 象、猜 疑 与 隐 匿。驾 驭 乌 尔 古 的 法 师 能 隐 去 身 形，扭 曲 他 人 对 现 实 的 感 知，并 从 聚 集 的 阴 影 中 发 动 袭 击。
menu_id_211|每 点 魔 法 等 级 提 供 10%的 战 败 后 逃 脱 几 率，最 高 80%。
menu_id_212|灰 袍 法 师 擅 长 操 控 战 局，既 能 强 化 盟 友，也 能 诅 咒 敌 人。阴 影 魔 法 尤 其 适 合 削 弱 敌 军，让 他 们 暴 露 在 你 的 前 线 部 队 面 前。该 学 派 虽 然 也 有 魔 法 飞 弹 和 范 围 攻 击，但 主 要 定 位 是 辅 助；“阴 影 骏 马”还 能 随 时 为 你 召 唤 一 匹 阴 影 坐 骑。
menu_id_213|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 阴 影 魔 法 吗？{reg33?:}
mno_id_1253|是 的，我 要 专 精 阴 影 魔 法。
menu_id_214|阴 森 而 无 可 逃 避 的 煞 伊 许 之 风，是 紫 晶 魔 法 的 源 泉。它 从 万 物 缓 慢 却 必 然 的 终 结 中 汲 取 力 量，让 驾 驭 者 掌 控 死 亡 的 领 域。死 亡 法 师 能 召 来 漂 浮 在 彼 岸 的 灵 魂 碎 片，也 能 把 敌 人 送 入 那 个 国 度。
menu_id_215|如 果 法 术 杀 死 敌 人，下 一 个 魔 法 阶 段 有 33%几 率 获 得 额 外 法 力。被 死 亡 魔 法 降 至 0生 命 值 的 敌 人 一 定 会 死 亡，不 会 只 是 昏 迷。
menu_id_216|死 亡 魔 法 擅 长 带 有 特 殊 条 件 的 魔 法 飞 弹，对 不 同 类 型 的 敌 人 会 产 生 不 同 效 果。该 学 派 还 有 能 迅 速 打 击 敌 军 士 气 的 法 术，而“泽 雷 尔 斯 的 紫 晶 邪 阳”则 是 旧 世 界 最 强 大 的 范 围 法 术 之 一。
menu_id_217|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 死 亡 魔 法 吗？
mno_id_1258|是 的，我 要 专 精 死 亡 魔 法。
menu_id_218|灼 热 的 阿 克 夏 之 风，是 炽 焰 魔 法 的 源 泉。它 象 征 激 情、野 心 与 纯 粹 的 愤 怒，力 量 强 大，却 同 样 危 险。驾 驭 阿 克 夏 的 法 师 必 须 时 刻 保 持 完 美 的 控 制，否 则 火 焰 就 会 失 控，吞 噬 周 围 的 一 切—— 首 当 其 冲 的 往 往 就 是 施 法 者 自 己。
menu_id_219|火 焰 魔 法 造 成 的 攻 击 全 部 视 为 火 焰 伤 害。成 功 施 放 一 个 法 术 后，本 魔 法 阶 段 后 续 所 有 法 术 都 会 获 得 施 法 检 定 加 成。
menu_id_220|火 焰 魔 法 主 要 依 靠 魔 法 飞 弹 和 范 围 法 术 造 成 伤 害，也 有 能 保 护、强 化 盟 友 的 增 益 法 术。该 学 派 没 有 减 益 法 术，但“燃 烧 穿 透 弩 矢”十 分 独 特，能 把 所 有 箭 矢 和 弩 矢 变 成 火 焰 弹 药。
menu_id_221|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 火 焰 魔 法 吗？
mno_id_1263|是 的，我 要 专 精 火 焰 魔 法。
menu_id_222|古 尔 是 魔 法 之 风 中 最 原 始、最 狂 野 的 一 股，也 是 琥 珀 魔 法 的 源 泉。追 随 古 尔 的 法 师 会 直 接 接 触 自 然 最 纯 粹 的 本 质，与 动 物 和 野 兽 建 立 越 来 越 深 的 联 系，并 借 此 向 敌 人 释 放 荒 野 中 古 老 而 狂 暴 的 力 量。
menu_id_223|安 抚 野 兽：每 2点 魔 法 控 制 使 骑 术 提 高 1点。
menu_id_224|野 兽 魔 法 拥 有 强 大 的 增 益 法 术，可 提 高 盟 友 的 移 动 速 度、伤 害 和 武 器 挥 舞 速 度。它 有 一 个 威 力 很 强、可 重 复 施 放 的 魔 法 飞 弹，却 完 全 没 有 范 围 法 术。最 强 的 法 术 能 把 一 名 友 军 士 兵 变 成 野 熊。
menu_id_225|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 野 兽 魔 法 吗？
mno_id_1268|是 的，我 要 专 精 野 兽 魔 法。
menu_id_226|奎 许，又 称 高 等 魔 法，是 将 所 有 魔 法 之 风 和 谐 编 织 成 宏 伟 法 术 的 技 艺，远 远 超 出 大 多 数 凡 人 乃 至 不 朽 生 灵 的 能 力。想 成 为 高 等 魔 法 大 师，就 必 须 把 全 部 心 智 与 灵 魂 投 入 对 每 一 股 魔 法 之 风 及 其 领 域 的 理 解。
menu_id_227|每 次 成 功 施 法 都 会 获 得 6+守 护 豁 免；之 后 再 次 成 功 施 法 会 让 豁 免 提 高 一 级，最 高 达 到 4+。守 护 豁 免 成 功 抵 挡 一 次 攻 击 后，效 果 会 重 置。
menu_id_228|高 等 魔 法 汇 集 八 大 魔 法 学 派 的 精 华，因 此 几 乎 能 应 付 任 何 局 面。它 是 唯 一 能 驱 散 魔 法 的 学 派；独 特 法 术“法 力 风 暴”还 可 以 投 入 法 力，让 你 和 盟 友 施 法 者 在 接 下 来 的 魔 法 阶 段 获 得 更 多 法 力。
menu_id_229|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 高 等 魔 法 吗？
mno_id_1273|是 的，我 要 专 精 高 等 魔 法。
menu_id_230|达 尔，也 就 是 世 人 所 说 的 黑 暗 魔 法，是 对 魔 法 本 质 最 阴 暗 的 运 用。魔 法 之 风 本 身 只 是 现 实 各 个 方 面 的 中 性 化 身，但 黑 暗 法 师 会 强 行 压 服 它 们，只 留 下 最 污 秽、最 恶 毒 的 部 分，把 混 乱 的 负 面 能 量 编 织 成 只 为 给 他 人 带 来 痛 苦 的 法 术。
menu_id_231|施 放 直 接 伤 害 法 术 时，有 17%几 率 获 得 伤 害 加 成。
menu_id_232|黑 暗 魔 法 拥 有 三 个 带 有 特 殊 条 件 的 范 围 法 术。它 们 能 瞬 间 杀 死 敌 人，甚 至 在 敌 人 死 亡 时 治 疗 施 法 者。“黑 暗 之 力”则 是 世 界 上 最 强 的 增 益 法 术 之 一，能 大 幅 提 高 盟 友 造 成 的 伤 害。
menu_id_233|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 黑 暗 魔 法 吗？
mno_id_1278|是 的，我 要 专 精 黑 暗 魔 法。
menu_id_234|亡 灵 魔 法 是 被 达 尔 腐 化 的 煞 伊 许 之 力，目 的 是 战 胜 死 亡、夺 取 对 死 者 的 控 制。它 通 常 被 称 为 死 灵 法 术，由 纳 迦 什 创 造，并 在 漫 长 岁 月 中 被 无 数 邪 恶 存 在 继 承。死 灵 法 师 愿 意 以 永 恒 的 灵 魂 为 代 价，换 取 超 越 凡 人 领 域 的 禁 忌 力 量。
menu_id_235|成 功 施 放 召 唤 法 术 后，下 一 次 召 唤 更 高 阶 亡 灵 的 几 率 会 提 高。
menu_id_236|亡 灵 魔 法 的 高 阶 法 术 在 等 级 较 低 时 很 难 施 放，但 效 果 十 分 强 大，例 如 召 唤 亡 灵 盟 友 或 提 高 近 战 伤 害。你 还 可 以 学 到 一 个 能 治 疗 目 标 的 魔 法 飞 弹，以 及 一 个 威 力 中 等 的 范 围 法 术。
menu_id_237|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 亡 灵 魔 法 吗？
mno_id_1283|是 的，我 要 专 精 亡 灵 魔 法。
menu_id_238|对 不 朽 生 灵 而 言，没 有 什 么 比 掌 握 吸 血 鬼 魔 法 更 能 带 来 荣 耀 与 力 量。用 诅 咒 摧 毁 敌 人，再 让 尸 体 站 起 来 为 自 己 作 战—— 这 样 的 力 量 足 以 让 精 灵 与 人 类 胆 寒。
menu_id_239|亡 者 诅 咒：每 次 成 功 施 法，都 会 按 魔 法 控 制 等 级 为 施 法 者 恢 复 生 命 值。
menu_id_240|吸 血 鬼 魔 法 与 亡 灵 魔 法 不 同，必 须 利 用 战 场 上 的 尸 体 才 能 召 唤 亡 者；不 过，它 的 进 攻 性 更 强，拥 有 两 个 范 围 法 术、一 个 强 大 的 自 身 增 益 法 术，以 及 能 让 附 近 敌 人 变 得 脆 弱 的 减 益 法 术。
menu_id_241|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 吸 血 鬼 魔 法 吗？
mno_id_1288|是 的，我 要 专 精 吸 血 鬼 魔 法。
menu_id_242|魔 法 之 风 从 混 沌 魔 域 涌 入 现 世，混 沌 诸 神 借 助 它 们，让 腐 化 的 意 志 在 物 质 世 界 化 为 实 体。万 变 之 主 奸 奇 的 魔 法 尤 其 危 险 而 具 有 毁 灭 性；它 会 带 来 突 然、剧 烈 的 变 化，让 被 巫 术 击 中 的 可 怜 灵 魂 遭 受 灾 难 性 的 后 果。
menu_id_243|当 魔 法 之 风 掷 出 8点 时，额 外 获 得 2点 法 力。
menu_id_244|奸 奇 魔 法 拥 有 多 个 威 力 不 同 的 范 围 法 术，以 及 极 其 强 大 的 魔 法 飞 弹“变 幻 之 箭”。“窃 取 魔 法”还 能 干 扰 敌 方 施 法 者。
menu_id_245|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 奸 奇 魔 法 吗？
mno_id_1293|是 的，我 要 专 精 奸 奇 魔 法。
menu_id_246|魔 法 之 风 从 混 沌 魔 域 涌 入 现 世，混 沌 诸 神 借 助 它 们，让 腐 化 的 意 志 在 物 质 世 界 化 为 实 体。痛 苦 与 欢 愉 之 神 色 孽 的 魔 法，是 一 套 卑 劣 而 阴 险 的 心 灵 巫 术。它 会 扭 曲 感 官、放 大 欲 望、激 起 非 理 性 的 冲 动，最 终 让 受 害 者 的 意 志 在 欢 愉 王 子 面 前 彻 底 崩 溃。
menu_id_247|如 果 法 术 伤 害 杀 死 一 个 目 标，有 17%几 率 召 唤 一 名 色 孽 魔 女。
menu_id_248|可 重 复 施 放 的 魔 法 飞 弹“色 孽 之 鞭”威 力 稍 弱，但 该 学 派 拥 有 两 个 非 常 强 大 的 范 围 法 术，以 及 顶 尖 的 增 益 法 术“歇 斯 底 里 的 疯 狂”。封 锁 敌 方 特 殊 能 力 的 效 果，对 巴 托 尼 亚 和 受 祝 福 的 骑 士 尤 其 有 用。
menu_id_249|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 色 孽 魔 法 吗？
mno_id_1298|是 的，我 要 专 精 色 孽 魔 法。
menu_id_250|魔 法 之 风 从 混 沌 魔 域 涌 入 现 世，混 沌 诸 神 借 助 它 们，让 腐 化 的 意 志 在 物 质 世 界 化 为 实 体。瘟 疫 之 主 纳 垢 的 魔 法，是 一 套 让 受 祂 祝 福 的 施 法 者 散 播 疾 病、痛 苦 与 腐 朽 的 邪 恶 巫 术，以 此 实 现 腐 朽 之 主 的 计 划。
menu_id_251|每 次 成 功 施 法，都 有 17%几 率 获 得“无 视 痛 苦”；成 功 后 再 有 17%几 率 升 级 为“高 级 无 视 痛 苦”，之 后 还 有 17%几 率 升 级 为“大 师 级 无 视 痛 苦”。效 果 会 持 续 到 本 场 战 斗 结 束。
menu_id_252|纳 垢 魔 法 的 进 攻 性 不 如 另 外 两 个 混 沌 学 派，却 是 三 者 中 最 独 特 的。它 是 唯 一 能 治 疗 盟 友 的 混 沌 魔 法，增 益 法 术 还 能 赋 予 毒 素 攻 击 和 无 视 痛 苦。纳 垢 的 伤 害 法 术 需 要 满 足 特 定 条 件，但 条 件 达 成 时 威 力 极 强。
menu_id_253|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 纳 垢 魔 法 吗？
mno_id_1303|是 的，我 要 专 精 纳 垢 魔 法。
menu_id_254|绿 皮 的 心 智 并 不 与 魔 法 之 风 共 鸣，而 是 自 行 产 生 一 种 奇 特 的 魔 法 能 量。兽 人 萨 满 能 感 觉 到 这 股 力 量，并 在 向 搞 哥 和 毛 哥 吼 出 祷 告 时，把 它 引 导 成 原 始 的 魔 法。“大 Waagh！”正 是 这 种 力 量 的 产 物，是 双 神 砸 向 一 切 胆 敢 反 抗 兽 人 的 弱 者 的 铁 拳。
menu_id_255|每 个 魔 法 阶 段 结 束 时，都 会 比 较 友 方 兽 人 击 中 敌 人 与 被 敌 人 击 中 的 次 数。如 果 友 方 命 中 次 数 更 多，所 有 法 术 都 会 获 得 伤 害 加 成；差 距 越 大，加 成 越 高。
menu_id_256|兽 人 魔 法 主 要 依 靠 魔 法 飞 弹。其 中 有 一 个 独 特 飞 弹，比 同 等 威 力 的 法 术 更 容 易 施 放，但 只 对 敌 方 施 法 者 生 效。该 学 派 还 有 能 加 速 友 方 兽 人 的 增 益 法 术，以 及 少 数 能 强 化 施 法 者 近 战 能 力 的 法 术。
menu_id_257|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 兽 人 魔 法 吗？
mno_id_1308|是 的，我 要 专 精 大 Waagh魔 法。
menu_id_258|绿 皮 的 心 智 并 不 与 魔 法 之 风 共 鸣，而 是 自 行 产 生 一 种 奇 特 的 魔 法 能 量。地 精 萨 满 会 被 同 族 脑 海 中 嗡 鸣 的 力 量 拖 入 恍 惚，并 借 此 向 搞 哥 和 毛 哥 求 助。“小 Waagh！”就 是 这 种 狡 猾、阴 险 的 地 精 魔 法。
menu_id_259|成 功 施 法 后，下 一 个 魔 法 阶 段 有 33%几 率 从 每 名 敌 方 施 法 者 身 上 窃 取 法 力。
menu_id_260|地 精 魔 法 威 力 较 弱，但 消 耗 低、容 易 施 放，萨 满 也 总 有 大 量 法 力。没 有 其 他 学 派 能 像 地 精 一 样 获 得 这 么 多 法 力。它 还 有 很 多 实 用 法 术，可 赋 予 盟 友 毒 素 攻 击、提 高 穿 刺 伤 害，或 封 锁 敌 人 的 特 殊 能 力。
menu_id_261|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 地 精 魔 法 吗？
mno_id_1313|是 的，我 要 专 精 小 Waagh魔 法。
menu_id_262|毁 灭 魔 法 也 常 被 称 为 次 元 魔 法，是 斯 卡 文 灰 先 知 运 用 达 尔 的 方 式。它 以 次 元 力 量 为 源，并 由 施 法 者 吞 食 的 次 元 石 强 化，会 腐 化 接 触 的 一 切。编 织 这 种 魔 法 的 灰 先 知 也 会 逐 渐 身 心 变 异：毛 发 变 成 灰 白 色，头 上 长 出 犄 角。
menu_id_263|毁 灭 魔 法 蕴 含 强 大 的 奥 术 工 程 力 量。每 点 魔 法 等 级 使 攻 城 塔 的 建 造 速 度 提 高 5%。
menu_id_264|毁 灭 魔 法 是 世 界 上 最 强、最 具 进 攻 性 的 学 派 之 一，以 相 对 较 低 的 法 力 消 耗 造 成 高 额 伤 害。“战 风 咆 哮”能 减 慢 整 支 敌 军，让 盟 友 冲 上 去 将 他 们 撕 碎；“杀 戮 狂 热”的 影 响 足 以 与“黑 暗 之 力”相 提 并 论。不 过，魔 法 等 级 较 低 时，这 个 学 派 很 难 驾 驭。
menu_id_265|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 毁 灭 魔 法 吗？
mno_id_1318|是 的，我 要 专 精 毁 灭 魔 法。
menu_id_266|瘟 疫 魔 法 是 大 角 鼠 赐 给 佩 斯 提 伦 氏 族 瘟 疫 祭 司 的 污 秽 礼 物，并 在 他 们 与 世 隔 绝 的 露 丝 契 亚 岁 月 中 发 展 成 形。瘟 疫 祭 司 把 肉 体 腐 烂 视 为 祝 福，奉 大 角 鼠 之 命，毫 无 怜 悯 地 向 敌 人 散 播 麻 风、瘟 疫 与 污 染。
menu_id_267|瘟 疫 会 吓 跑 村 民。每 点 魔 法 等 级 使 村 庄 掠 夺 速 度 提 高 3%。
menu_id_268|瘟 疫 魔 法 专 注 于 不 同 威 力 的 范 围 法 术。高 阶“瘟 疫”会 感 染 敌 人，每 当 感 染 者 死 亡 时，都 可 能 再 次 引 发 瘟 疫 爆 发。“凋 萎”会 让 敌 人 承 受 更 多 伤 害，“污 秽 赐 福”则 赋 予 盟 友 毒 素 攻 击。该 学 派 没 有 魔 法 飞 弹。
menu_id_269|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 瘟 疫 魔 法 吗？
mno_id_1323|是 的，我 要 专 精 瘟 疫 魔 法。
menu_id_270|尼 赫 喀 拉 魔 法 源 自 被 遗 忘 古 国 的 远 古 仪 式，是 巫 妖 祭 司 的 宗 教 法 术，并 随 古 墓 诸 王 的 诅 咒 跨 越 岁 月 留 存 至 今。祭 司 们 用 古 老 的 高 阶 尼 赫 喀 拉 语 吟 唱 祷 文，从 冥 界 与 时 间 的 褶 皱 中 呼 唤 尼 赫 喀 拉 被 遗 忘 的 诸 神。
menu_id_271|增 益 法 术 还 会 治 疗 你 麾 下 的 古 墓 诸 王 部 队。
menu_id_272|尼 赫 喀 拉 魔 法 以 强 化 古 墓 诸 王 部 队、利 用 敌 人 弱 点 的 法 术 为 核 心。训 练 有 素 的 巫 妖 祭 司 几 乎 能 应 对 任 何 局 面；善 于 运 用 这 些 法 术 的 人，能 赢 下 许 多 原 本 必 败 的 战 斗。“乌 瑟 霍 普 的 干 枯 咒”是 游 戏 中 最 强 的 法 术 之 一，也 是 巫 妖 祭 司 最 致 命 的 武 器。尼 赫 喀 拉 魔 法 没 有 魔 法 飞 弹。
menu_id_273|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 尼 赫 喀 拉 魔 法 吗？
mno_id_1328|是 的，我 要 专 精 尼 赫 喀 拉 魔 法。
menu_id_274|早 在 精 灵 把 魔 法 知 识 传 给 旧 世 界 的 人 类 部 族 之 前，基 斯 里 夫 冰 原 上 天 赋 异 禀 的 女 巫 就 已 经 掌 握 了 强 大 而 原 始 的 奥 术。冰 雪 魔 法 是 永 冬 的 呼 吸，也 是 少 数 完 全 属 于 人 类 的 魔 法，由 睿 智 而 强 大 的 戈 斯 波 达 女 巫 编 织。
menu_id_275|在 雪 地 上 移 动 时，生 命 恢 复 得 更 快。魔 法 控 制 越 高，恢 复 速 度 越 快。
menu_id_276|冰 雪 魔 法 偏 重 防 御，能 保 护 施 法 者 与 盟 友、减 轻 伤 害，也 能 拖 慢 敌 军。它 没 有 威 力 极 强 的 瞬 发 法 术，但“寒 冷 冲 击”是 最 强 的 可 重 复 施 放 飞 弹 之 一；“召 唤 霜 熊”虽 然 难 以 施 放，却 威 力 惊 人。
menu_id_277|选 定 这 个 学 派 后 就 无 法 更 换。你 确 定 要 专 精 冰 雪 魔 法 吗？
mno_id_1333|是 的，我 要 专 精 寒 冰 魔 法。
menu_id_278|在 阿 拉 比 的 沙 漠 中，强 大 的 神 秘 术 士 钻 研 如 何 束 缚 元 素 精 灵—— 巨 灵—— 并 让 它 们 服 从 自 己 的 意 志。沙 漠 魔 法 正 是 这 种 奥 术：法 师 借 助 沙 漠 元 素 之 灵 的 天 生 魔 力，并 通 过 与 巨 灵 的 契 约 完 成 原 本 不 可 能 的 奇 迹。
menu_id_279|在 沙 漠 地 形 上，施 法 检 定 +1。
